no,type,dims_in,material,block,house,room,street,level_ft,field_no,pdf_page,area,level_dk_ft,phase_estimate
456,B,1.09x1.08x0.3,Steatite,12,V,96,,-13.5,DK 6550,59,DK,-13.5,Intermediate I
457,B,0.77x0.77x0.25,Steatite,12A,I,13,,-13.5,DK 5640,59,DK,-13.5,Intermediate I
458,B,0.8x0.8x0.22,Steatite,12,I,11,,-13.5,DK 5749,59,DK,-13.5,Intermediate I
459,B,1.1x1.1x0.3,Steatite,,,,Bet. Bls. 11 & 12A,-13.5,DK 7145,59,DK,-13.5,Intermediate I
460,B,0.73x0.73x0.22,Steatite,,,,Bet. Bls. 1 & 7,-13.6,DK 6753,59,DK,-13.6,Intermediate I
461,F,1.42x0.55x0.46,Steatite,,I,,Lane east of Bl. 1,-13.6,DK 7349,59,DK,-13.6,Intermediate I
462,B,0.96x0.78x0.3,Steatite,,II,,Lane east of Bl. 10,-13.6,DK 7913,59,DK,-13.6,Intermediate I
463,B,1.1x1.1x0.35,Steatite,10,II,26,,-13.6,DK 7722,59,DK,-13.6,Intermediate I
464,B,0.7x0.7x0.23,Steatite,7,I,19,,-13.6,DK 6153,59,DK,-13.6,Intermediate I
465,B,1.15x1.11x0.25,Steatite,9,VI,36,,-13.7,DK 8254,59,DK,-13.7,Intermediate I
466,B,1.02x1.0x0.27,Steatite,2,I,8,,-13.8,DK 9127,59,DK,-13.8,Intermediate I
467,B,1.1x?x0.34,Steatite,12,V,91,,-13.8,DK 5582,60,DK,-13.8,Intermediate I
468,B,1.2x1.2x0.33,Steatite,,,,First St. (10),-13.9,DK 8026,60,DK,-13.9,Intermediate I
469,B,1.02x1.02x0.27,Steatite,,,,Bet. Bls. 1 & 10 (I),-13.9,DK 6360,60,DK,-13.9,Intermediate I
470,F,1.5x0.5x0.35,Steatite,1,I,15,,-13.9,DK 5708,60,DK,-13.9,Intermediate I
471,B,1.25x1.0x0.29,Steatite,9,VII,17,,-13.9,DK 6429,60,DK,-13.9,Intermediate I
472,B,0.82x0.82x0.3,Steatite,5,I,4,,-14.0,DK 4073,60,DK,-14.0,Intermediate I
473,B,0.95x0.75x0.3,Steatite,7,I,15,,-14.0,DK 6266,60,DK,-14.0,Intermediate I
474,B,0.87x0.85x0.2,Steatite,2,III,16,,-14.0,DK 4301,60,DK,-14.0,Intermediate I
475,B,1.1x1.1x0.3,Steatite,,,,Lane bet. Bls. 1 & 7,-14.0,DK 6777,60,DK,-14.0,Intermediate I
476,B,1.08x1.07x0.35,Steatite,1,III,2,,-14.0,DK 5709,60,DK,-14.0,Intermediate I
477,F,1.42x0.62x0.3,Steatite,3,IV,45,,-14.1,DK 3755,60,DK,-14.1,Intermediate I
478,B,1.2x1.2x0.3,Steatite,4,,13,,-14.1,DK 4967,60,DK,-14.1,Intermediate I
479,B,0.95x0.95x0.2,Marble,12A,II,21,,-14.3,DK 7313,60,DK,-14.3,Intermediate I
480,B,1.15x1.12x0.29,Steatite,3,VI,31,,-14.4,DK 4151,60,DK,-14.4,Intermediate I
481,B,1.15x1.15x0.39,Steatite,,I,,Lane east of Bl. 1,-14.4,DK 7137,60,DK,-14.4,Intermediate I
482,-,1.81,Ivory,7,V,54,,-14.4,DK 7366,60,DK,-14.4,Intermediate I
483,B,1.18x?x0.33,Steatite,7,V,66,,-14.4,DK 8062,60,DK,-14.4,Intermediate I
484,B,0.63x0.61x0.21,Steatite,1,V,46,,-14.5,DK 6385,60,DK,-14.5,Intermediate II
485,F,1.17x0.47x0.3,Steatite,1,III,17,,-14.5,DK 5156,60,DK,-14.5,Intermediate II
486,B,1.15x1.15x0.44,Steatite,,,,Bet. Bls. 4 & 5,-14.5,DK 4206,60,DK,-14.5,Intermediate II
487,B,1.6x?x0.5,Steatite,1,III,4,,-14.6,DK 5778,60,DK,-14.6,Intermediate II
488,A,1.0x0.59,Steatite,4,,12,,-14.5,DK 5828,60,DK,-14.5,Intermediate II
489,B,1.21x1.08x0.38,Steatite,,,,First St. (21),-14.5,DK 8072,60,DK,-14.5,Intermediate II
490,B,0.89x0.85x0.24,Steatite,,,,Bet. Bls. 1 & 10 (I),-14.7,DK 6633,60,DK,-14.7,Intermediate II
491,B,1.06x1.03x0.41,Steatite,,,,First St. (15),-14.7,DK 13006,60,DK,-14.7,Intermediate II
492,C,1.18x1.18x0.25,Steatite,7,IV,72,,-14.7,DK 8204,60,DK,-14.7,Intermediate II
493,B,0.99x0.99x0.22,Steatite,7,III,48,,-14.8,DK 8253,60,DK,-14.8,Intermediate II
494,B,0.97x0.95x0.21,Steatite,,,,Lane bet. Bls. 10 & 12,-14.8,DK 7734,60,DK,-14.8,Intermediate II
495,B,0.81x0.81x0.21,Steatite,2,II,23,,-14.8,DK 4337,60,DK,-14.8,Intermediate II
496,B,?x?x0.3,Steatite,7,VIII,28,,-14.8,DK 6003,60,DK,-14.8,Intermediate II
497,?,1.05x0.9x0.52,Steatite,7,III,43,,-14.8,DK 8250,60,DK,-14.8,Intermediate II
498,B,0.8x0.78x0.27,Steatite,,,,Bet. Bls. 1 (III) & 2,-14.8,DK 6838,60,DK,-14.8,Intermediate II
499,F,1.8x0.46x0.35,Steatite,2,I,7,,-14.8,DK 9187,60,DK,-14.8,Intermediate II
500,H,1.1x0.21,Steatite,,,,Bet. Bls. 1 & 7,-14.8,DK 6844,61,DK,-14.8,Intermediate II
501,B,1.1x0.9x0.29,Steatite,4,,12,,-14.9,DK 5852,61,DK,-14.9,Intermediate II
502,B,0.67x0.65x0.25,Steatite,1,I,22,,-14.9,DK 7676,61,DK,-14.9,Intermediate II
503,B,1.07x1.05x0.3,Steatite,1,IV,61,,-15.0,DK 5459,61,DK,-15.0,Intermediate II
504,B,0.85x0.85x0.25,Steatite,10,I,5,,-15.0,DK 5925,61,DK,-15.0,Intermediate II
505,D,0.75x0.36x0.1,Steatite,1,II,32,,-15.0,DK 5671,61,DK,-15.0,Intermediate II
506,B,0.95x0.95x0.3,Steatite,1,IV,73,,-15.1,DK 5533,61,DK,-15.1,Intermediate II
507,B,1.15x1.12x0.3,Steatite,2,I,10,,-15.1,DK 4313,61,DK,-15.1,Intermediate II
508,D,0.8x0.4x0.18,Steatite,,,,First St. (10),-15.1,DK 8089,61,DK,-15.1,Intermediate II
509,A,0.8,Steatite,1,VIII,63,,-15.1,DK 5849,61,DK,-15.1,Intermediate II
510,I,1.0x0.86x0.21,Steatite,9,VI,34,,-15.2,DK 8321,61,DK,-15.2,Intermediate II
511,B,1.2x1.2x0.34,Steatite,,,,Bet. 1 & 10 (I),-15.2,DK 6689,61,DK,-15.2,Intermediate II
512,B,1.04x1.04x0.25,Steatite,1,V,47,,-15.3,DK 6764,61,DK,-15.3,Intermediate II
513,B,1.05x1.04x0.3,Steatite,,,,Bet. Bls. 12 & 12A,-15.3,DK 5392,61,DK,-15.3,Intermediate II
514,B,1.0x1.0x0.27,Steatite,,,,Bet. Bls. 12 & 12A,-15.3,DK 5368,61,DK,-15.3,Intermediate II
515,F,0.85x0.4x0.26,Steatite,1,IV,30,,-15.3,DK 5413,61,DK,-15.3,Intermediate II
516,B,0.5x0.47x0.21,Steatite,1,I,16,,-15.3,DK 8864,61,DK,-15.3,Intermediate II
517,B,0.78x0.77x0.2,Steatite,12,V,92,,-15.3,DK 5601,61,DK,-15.3,Intermediate II
518,B,1.1x1.1x0.26,Steatite,3,IV,45,,-15.4,DK 7221,61,DK,-15.4,Intermediate II
519,B,1.2x1.2x0.3,Steatite,7,V,66,,-15.4,DK 8104,61,DK,-15.4,Intermediate II
520,B,0.64x0.64x0.16,Silver,12,I,4,,-15.4,DK 8563,61,DK,-15.4,Intermediate II
521,B,1.23x1.2x0.27,ditto after Silver (as printed),,,,Bet. Bls. 1 (V) & 10,-15.5,DK 5935,61,DK,-15.5,Intermediate II
522,B,1.26x1.25x0.34,ditto after Silver (as printed),3,III,26,,-15.5,DK 7033,61,DK,-15.5,Intermediate II
523,B,0.71x0.71x0.2,ditto after Silver (as printed),7,IX,31,,-15.5,DK 8023,61,DK,-15.5,Intermediate II
524,B,1.32x1.27x0.33,ditto after Silver (as printed),,,,First St. (21),-15.6,DK 7708,61,DK,-15.6,Intermediate II
525,B,0.61x0.6x0.15,ditto after Silver (as printed),1,I,16,,-15.7,DK 7052,61,DK,-15.7,Intermediate II
526,D,0.94x0.4x0.32,ditto after Silver (as printed),5,III,8,,-15.7,DK 7694,61,DK,-15.7,Intermediate II
527,B,0.66x0.66x0.19,ditto after Silver (as printed),9A,V,67,,-15.7,DK 8406,61,DK,-15.7,Intermediate II
528,D,1.5x0.73x0.4,ditto after Silver (as printed),9A,V,75,,-15.7,DK 6698,61,DK,-15.7,Intermediate II
529,B,1.29x1.0x0.33,ditto after Silver (as printed),1,V,45,,-15.8,DK 7512,61,DK,-15.8,Intermediate II
530,B,1.51x1.5x0.44,ditto after Silver (as printed),1,I,74,,-15.8,DK 5605,61,DK,-15.8,Intermediate II
531,B,1.1x0.74x0.26,ditto after Silver (as printed),3,VI,47,,-15.9,DK 7150,61,DK,-15.9,Intermediate II
532,B,0.95x0.95x0.3,ditto after Silver (as printed),,,,Bet. Bls. 11 & 12A,-15.9,DK 4907,61,DK,-15.9,Intermediate II
533,B,1.1x1.1x0.28,Silver (as printed),,,,First St. (10),-15.9,DK 8168,62,DK,-15.9,Intermediate II
534,B,1.15x1.15x0.3,ditto after Silver (as printed),,,,First St. (10),-15.9,DK 8166,62,DK,-15.9,Intermediate II
535,B,1.03x1.02x0.28,ditto after Silver (as printed),,,,Bet. Bls. 1 (IV) & 10,-15.9,DK 5969,62,DK,-15.9,Intermediate II
536,B,1.12x1.15x0.28,ditto after Silver (as printed),7,VIII,28,,-15.9,DK 6002,62,DK,-15.9,Intermediate II
537,F,1.64x0.55x0.32,ditto after Silver (as printed),,,,Bet. Bls. 10A and 11,-23.6,DK 7172,62,DK,-23.6,Early
538,B,1.04x1.04x0.33,ditto after Silver (as printed),1,VI,52,,-16.0,DK 7190,62,DK,-16.0,Intermediate II
539,B,1.31x1.31x0.35,ditto after Silver (as printed),7,III,43,,-16.1,DK 8242,62,DK,-16.1,Intermediate II
540,B,0.69x0.69x0.25,Steatite,,I,,Lane east of Bl. 1,-16.1,DK 3889,62,DK,-16.1,Intermediate II
541,F,1.41x0.49x0.33,Steatite,,I,,Lane east of Bl. 1,-16.1,DK 7406,62,DK,-16.1,Intermediate II
542,D,1.05x0.73x0.46,Steatite,12A,II,18,,-16.2,DK 7269,62,DK,-16.2,Intermediate II
543,B,1.1x1.1x0.3,Steatite,10,III,55,,-16.2,DK 6210,62,DK,-16.2,Intermediate II
544,D,1.05x0.73x0.46,Steatite,12A,II,18,,-16.2,DK 7269,62,DK,-16.2,Intermediate II
545,B,0.95x0.82x0.29,Steatite,8,II,18,,-16.2,DK 9111,62,DK,-16.2,Intermediate II
546,B,1.01x1.0x0.33,Steatite,1,IV,24,,-16.3,DK 6125,62,DK,-16.3,Intermediate II
547,B,0.76x0.76x0.19,Steatite,,,,Bet. Bls. 1 (III) & 7,-16.3,DK 6448,62,DK,-16.3,Intermediate II
548,B,1.05x1.05x0.34,Steatite,4,,13,,-16.4,DK 5707,62,DK,-16.4,Intermediate II
549,B,0.99x0.98x0.32,Steatite,,,,Bet. Bls. 11 & 12A,-16.4,DK 5418,62,DK,-16.4,Intermediate II
550,E,0.7x0.7x0.15,Steatite,,,,Bet. Bls. 11 & 12A,-16.4,DK 5414,62,DK,-16.4,Intermediate II
551,B,0.77x0.27x0.28,Faience (as printed),,,,Bet. Bls. 9A & 12A,-16.4,DK 5573,62,DK,-16.4,Intermediate II
552,B,0.91x0.9x0.28,ditto after Faience (as printed),1,I,74,,-16.5,DK 5636,62,DK,-16.5,Intermediate II
553,B,0.91x0.9x0.28,ditto after Faience (as printed),1,I,74,,-16.5,DK 5636,62,DK,-16.5,Intermediate II
554,B,1.0x0.98x0.22,ditto after Faience (as printed),1,VIII,63,,-16.5,DK 5875,62,DK,-16.5,Intermediate II
555,B,1.07x1.07x0.36,ditto after Faience (as printed),,I,,Lane east of Bl. 1,-16.5,DK 7333,62,DK,-16.5,Intermediate II
556,B,1.1x1.1x0.3,ditto after Faience (as printed),7,V,54,,-16.5,DK 7790,62,DK,-16.5,Intermediate II
557,B,0.75x0.71x0.21,ditto after Faience (as printed),7,III,46,,-16.5,DK 8279,62,DK,-16.5,Intermediate II
558,B,1.03x0.65x0.34,ditto after Faience (as printed),2,IV,20,,-16.5,DK 7447,62,DK,-16.5,Intermediate II
559,B,0.65x0.4x0.33,ditto after Faience (as printed),2,IV,20,,-16.5,DK 7448,62,DK,-16.5,Intermediate II
560,B,0.77x0.75x0.28,ditto after Faience (as printed),7,VII,57,,-16.5,DK 7570,62,DK,-16.5,Intermediate II
561,B,1.36x1.36x0.35,ditto after Faience (as printed),9A,V,75,,-16.6,DK 7280,62,DK,-16.6,Intermediate II
562,B,1.2x1.16x0.3,ditto after Faience (as printed),9,VIII,14,,-16.7,DK 6795,62,DK,-16.7,Intermediate II
563,B,0.97x0.97x0.3,ditto after Faience (as printed),,,,Bet. Bls. 11 & 12A,-16.7,DK 5432,62,DK,-16.7,Intermediate II
564,B,0.9x0.9x0.22,ditto after Faience (as printed),7,VIII,53,,-16.8,DK 8463,62,DK,-16.8,Intermediate II
565,B,0.5x0.5x0.1,ditto after Faience (as printed),7,IV,49,,-16.8,DK 8218,62,DK,-16.8,Intermediate II
566,B,?x?x0.46,Faience (as printed),,,,Bet. Bls. 10 & 12,-16.9,DK 5703,63,DK,-16.9,Intermediate II
567,B,1.0x1.0x0.27,ditto after Faience (as printed),12,V,89,,-16.9,DK 5967,63,DK,-16.9,Intermediate II
568,D,1.0x0.48x0.39,ditto after Faience (as printed),,,,Bet. Bls. 10 & 12,-16.9,DK 5702,63,DK,-16.9,Intermediate II
569,B,0.98x0.98x0.26,ditto after Faience (as printed),7,IX,31,,-16.9,DK 8223,63,DK,-16.9,Intermediate II
570,B,1.0x0.65x0.26,ditto after Faience (as printed),,,,Bet. Bls. 12 & 12A,-16.9,DK 5446,63,DK,-16.9,Intermediate II
571,B,0.75x0.72x0.25,ditto after Faience (as printed),1,III,17,,-16.9,DK 7268,63,DK,-16.9,Intermediate II
572,B,1.1x1.1x0.3,ditto after Faience (as printed),,,,First St. (6),-17.0,DK 8212,63,DK,-17.0,Intermediate II
573,B,1.25x1.25x0.35,Steatite,5,I,3,,-17.0,DK 7538,63,DK,-17.0,Intermediate II
574,B,1.15x1.15x0.31,Steatite,10,IV,86,,-17.0,DK 7135,63,DK,-17.0,Intermediate II
575,?,1.23x0.8x0.4,Steatite,12,V,96,,-17.1,DK 6898,63,DK,-17.1,Intermediate II
576,B,1.31x1.31x0.28,Steatite,1,VI,52,,-17.2,DK 9069,63,DK,-17.2,Intermediate II
577,B,0.85x0.83x0.25,Steatite,7,IV,72,,-17.2,DK 8209,63,DK,-17.2,Intermediate II
578,B,1.56x1.56x0.36,Steatite,1,I,15,,-17.3,DK 7283,63,DK,-17.3,Intermediate II
579,F,0.95x0.46x0.33,Steatite,,I,,Lane east of Bl. 1,-17.4,DK 7465,63,DK,-17.4,Intermediate II
580,B,0.96x0.95x0.23,Steatite,12,V,92,,-17.4,DK 5891,63,DK,-17.4,Intermediate II
581,B,0.95x0.95x0.3,Steatite,,III,,Bet. Bls. 7 & 9,-17.4,DK 8528,63,DK,-17.4,Intermediate II
582,B,0.78x0.78x0.25,Steatite,,,,Bet. Bls. 1 (III) & 2,-17.4,DK 7464,63,DK,-17.4,Intermediate II
583,B,1.25x1.25x0.4,Steatite,3,III,36,,-17.4,DK 7402,63,DK,-17.4,Intermediate II
584,B,1.2x1.2x0.37,Steatite,11,III,41,,-17.6,DK 7820,63,DK,-17.6,Intermediate II
585,B,0.9x0.85x0.25,Steatite,7,IV,49,,-17.6,DK 8248,63,DK,-17.6,Intermediate II
586,E,0.65x0.61x0.17,Faience,,,,First St. (22),-17.6,DK 8213,63,DK,-17.6,Intermediate II
587,C,1.32x1.32x0.39,Steatite,2,IV,22,,-17.6,DK 7372,63,DK,-17.6,Intermediate II
588,B,1.11x1.11x0.3,Steatite,4,,16,,-17.7,DK 6381,63,DK,-17.7,Intermediate II
589,B,1.33x1.33x0.4,Steatite,1,I,72,,-17.7,DK 6335,63,DK,-17.7,Intermediate II
590,B,1.4x1.4x0.33,Steatite,1,I,20,,-17.7,DK 5848,63,DK,-17.7,Intermediate II
591,B,0.81x0.81x0.25,Steatite,,,,First St. (21),-17.8,DK 7601,63,DK,-17.8,Intermediate II
592,B,0.75x0.75x0.25,Steatite,7,IV,71,,-17.9,DK 8287,63,DK,-17.9,Intermediate II
593,B,1.12x1.12x0.3,Steatite,,I,,East of Bl. 1,-17.8,DK 7415,63,DK,-17.8,Intermediate II
594,B,1.0x1.0x0.29,Steatite,7,VIII,52,,-17.8,DK 8539,63,DK,-17.8,Intermediate II
595,B,1.3x1.3x0.3,Steatite,10,I,5,,-17.8,DK 7875,63,DK,-17.8,Intermediate II
596,B,1.92x1.15x0.49,Steatite,,VI,,Lane east of Bl. 9,-17.9,DK 8422,63,DK,-17.9,Intermediate II
597,B,1.13x1.08x0.3,Steatite,1,III,2,,-17.9,DK 8946,63,DK,-17.9,Intermediate II
598,B,1.4x1.36x0.42,Steatite,10,III,67,,-18.0,DK 6531,63,DK,-18.0,Intermediate III
599,F,1.4x0.62x0.45,Steatite,1,I,17,,-18.0,DK 7288,64,DK,-18.0,Intermediate III
600,B,0.56x0.56x0.23,Faience,,III,,Bet. Bls. 10 & 12,-18.0,DK 6140,64,DK,-18.0,Intermediate III
601,B,0.97x0.96x0.29,Steatite,1,IV,63,,-18.0,DK 5641,64,DK,-18.0,Intermediate III
602,B,0.73x0.73x0.23,Steatite,,,,Bet. Bls. 10A & 12,-18.1,DK 6209,64,DK,-18.1,Intermediate III
603,F,1.53x0.59x0.4,Steatite,2,IV,15,,-18.1,DK 5567,64,DK,-18.1,Intermediate III
604,J,0.7x0.15,Steatite,7,V,54,,-18.1,DK 7810,64,DK,-18.1,Intermediate III
604B,B,0.83x0.83x0.3,Steatite,10A,,7,,-18.1,DK 7136,64,DK,-18.1,Intermediate III
605,B,1.38x1.38x0.45,Steatite,1,I,75,,-18.1,DK 8856,64,DK,-18.1,Intermediate III
606,B,1.2x1.07x0.28,Steatite,1,VII,35,,-18.2,DK 9114,64,DK,-18.2,Intermediate III
607,B,0.72x0.7x0.24,Steatite,3,IV,29,,-18.2,DK 6704,64,DK,-18.2,Intermediate III
608,B,0.72x0.72x0.22,Steatite,,,,Bet. Bls. 1 (IV) & 10,-18.2,DK 6886,64,DK,-18.2,Intermediate III
609,B,0.85x0.85x0.2,Steatite,11,III,34,,-18.3,DK 6827,64,DK,-18.3,Intermediate III
610,B,?x?x0.3,Steatite,1A,,58,,-18.3,DK 8472,64,DK,-18.3,Intermediate III
611,B,1.15x1.15x0.32,Steatite,1,I,21,,-18.3,DK 8963,64,DK,-18.3,Intermediate III
612,B,1.0x1.0x0.3,Steatite,,,,Bet. Bls. 10 & 12,-18.4,DK 6861,64,DK,-18.4,Intermediate III
613,B,0.96x0.92x0.23,Steatite,,,,Bet. Bls. 1 & 10 (I),-18.4,DK 6798,64,DK,-18.4,Intermediate III
614,B,1.28x1.28x0.35,Steatite,1,III,17,,-18.4,DK 8984,64,DK,-18.4,Intermediate III
615,B,1.2x1.2x0.28,Steatite,9A,V,75,,-18.4,DK 7469,64,DK,-18.4,Intermediate III
616,B,1.92x1.92x0.56,Steatite,1,I,74,,-18.5,DK 8916,64,DK,-18.5,Intermediate III
617,B,0.95x0.93x0.35,Steatite,1,I,21,,-18.5,DK 8962,64,DK,-18.5,Intermediate III
618,B,0.86x0.86x0.25,Steatite,,,,First St. (7),-18.6,DK 8236,64,DK,-18.6,Intermediate III
619,E,0.65x0.65x0.17,Faience,,,,Bet. Bls. 5 and 6,-18.6,DK 7756,64,DK,-18.6,Intermediate III
620,B,0.86x0.85x0.3,Steatite,1,I,74,,-18.6,DK 6267,64,DK,-18.6,Intermediate III
621,B,1.07x0.95x0.24,Steatite,,,,Bet. Bls. 1 & 7,-18.8,DK 7115,64,DK,-18.8,Intermediate III
622,B,0.97x0.97x0.35,Steatite,1,III,1,,-18.9,DK 8930,64,DK,-18.9,Intermediate III
623,B,0.75x0.7x0.21,Steatite,7,III,44,,-19.1,DK 8869,64,DK,-19.1,Intermediate III
624,-,0.8x0.3,Pottery,,,,Bet. Bls. 1 & 10 (I),-19.1,DK 7116,64,DK,-19.1,Intermediate III
625,B,0.79x0.79x0.23,Steatite,,,,Bet. Bls. 11 & 12,-19.2,DK 5710,64,DK,-19.2,Intermediate III
626,B,1.47x1.47x0.36,Steatite,,,,First St. (13),-19.2,DK 8553,64,DK,-19.2,Intermediate III
627,B,?x?x0.4,Steatite,,,,Bet. Bls. 11 & 12A,-19.3,DK 5215,64,DK,-19.3,Intermediate III
628,B,1.41x1.39x0.31,Steatite,10,IV,83,,-19.3,DK 7077,64,DK,-19.3,Intermediate III
629,B,1.05x1.05x0.35,Steatite,1,I,82,,-19.3,DK 8985,64,DK,-19.3,Intermediate III
630,B,0.95x0.95x0.3,Steatite,12,V,96,,-19.4,DK 8629,64,DK,-19.4,Intermediate III
631,C,0.8x0.8x0.22,Steatite,3,VI,47,,-19.4,DK 7374,65,DK,-19.4,Intermediate III
632,B,0.83x0.82x0.28,Steatite,,,,Bet. Bls. 12 & 12A,-19.5,DK 5537,65,DK,-19.5,Intermediate III
633,B,0.86x0.86x0.26,Steatite,2,I,7,,-19.6,DK 9283,65,DK,-19.6,Intermediate III
634,B,0.85x0.86x0.25,Steatite,,,,Bet. Bls. 11 & 12A,-19.8,DK 5256,65,DK,-19.8,Intermediate III
635,B,0.97x0.97x0.29,Steatite,1,II,63,,-19.8,DK 9002,65,DK,-19.8,Intermediate III
636,C,0.92x0.92x0.36,Steatite,,,,First St. (21),-19.9,DK 8519,65,DK,-19.9,Intermediate III
637,B,0.75x0.76x0.14,Steatite,,,,Bet. Bls. 12 & 12A,-19.9,DK 5554,65,DK,-19.9,Intermediate III
638,B,0.65x0.64x0.2,Steatite,4,,10,,-20.0,DK 6751,65,DK,-20.0,Intermediate III
639,B,1.0x0.98x0.28,Steatite,1,VIII,63,,-20.0,DK 6068,65,DK,-20.0,Intermediate III
640,B,1.27x0.72x0.33,Steatite,,VI,,Bet. Bls. 5 & 7,-20.0,DK 6842,65,DK,-20.0,Intermediate III
641,B,1.22x1.22x0.31,Steatite,9A,V,75,,-20.0,DK 7597,65,DK,-20.0,Intermediate III
642,B,0.78x0.77x0.26,Steatite,11,III,26,,-20.0,DK 5580,65,DK,-20.0,Intermediate III
643,D,1.2x0.6x0.46,Steatite,,I,,Lane east of Bl. 1,-20.0,DK 9255,65,DK,-20.0,Intermediate III
644,B,1.18x1.16x0.31,Steatite,7,II,88,,-20.1,DK 8703,65,DK,-20.1,Intermediate III
645,B,1.24x1.2x0.3,Steatite,12,V,95,,-20.2,DK 7287,65,DK,-20.2,Intermediate III
646,B,0.9x0.9x0.26,Steatite,1,I,82,,-20.2,DK 9085,65,DK,-20.2,Intermediate III
647,B,0.81x0.81x0.27,Steatite,,,,First St. (1),-20.3,DK 8494,65,DK,-20.3,Intermediate III
648,B,1.3x1.25x0.27,Steatite,7,I,19,,-20.4,DK 8473,65,DK,-20.4,Intermediate III
649,B,0.7x0.7x0.19,Steatite,4,,16,,-20.5,DK 6423,65,DK,-20.5,Intermediate III
650,B,0.75x0.75x?,Steatite,7,VIII,28,,-20.6,DK 8756,65,DK,-20.6,Intermediate III
651,B,1.53x1.52x0.32,Steatite,5,I,2,,-20.6,DK 7462,65,DK,-20.6,Intermediate III
652,B,0.77x0.77x0.22,Steatite,,,,Bet. Bls. 1 (I) & 2,-20.6,DK 9343,65,DK,-20.6,Intermediate III
653,B,1.6x1.6x0.43,Paste,3,VI,40,,-20.7,DK 7825,65,DK,-20.7,Intermediate III
654,F,2.17x0.59x0.4,Steatite,1,IV,61,,-20.7,DK 9134,65,DK,-20.7,Intermediate III
655,B,1.19x1.18x0.34,Steatite,,III,,Bet. Bls. 10 & 12,-20.7,DK 7066,65,DK,-20.7,Intermediate III
656,B,0.86x0.86x0.23,Steatite,1,III,2,,-20.9,DK 9086,65,DK,-20.9,Intermediate III
657,B,1.06x1.05x0.28,Steatite,,,,Bet. Bls. 10A & 11,-20.9,DK 6625,65,DK,-20.9,Intermediate III
658,D,1.05x0.7x0.44,Limestone,1,III,4,,-21.0,DK 9050,65,DK,-21.0,Intermediate III
659,B,?x?x0.28,Steatite,,,,First St. (21),-21.1,DK 8544,65,DK,-21.1,Intermediate III
660,B,1.07x1.06x0.21,Steatite,1,III,1,,-21.1,DK 9049,65,DK,-21.1,Intermediate III
661,I,1.75x0.5x0.2,Steatite,,,,First St. (22),-21.2,DK 8440,65,DK,-21.2,Intermediate III
662,B,0.53x0.53x0.11,Steatite,,,,First St. (22),-21.3,DK 8478,65,DK,-21.3,Intermediate III
663,B,0.9x0.9x0.2,Steatite,7,III,51,,-21.3,DK 8957,65,DK,-21.3,Intermediate III
664,B,0.9x0.85x0.2,Steatite,,,,First St. (6),-21.3,DK 8650,66,DK,-21.3,Intermediate III
665,B,?x?x0.3,Steatite,,,,First St. (21),-21.4,DK 8479,66,DK,-21.4,Intermediate III
666,B,1.21x1.21x0.31,Steatite,4,,16,,-21.6,DK 8923,66,DK,-21.6,Intermediate III
667,B,1.27x1.05x0.29,Steatite,,,,First St. (1),-21.7,DK 8764,66,DK,-21.7,Intermediate III
668,F,0.95x0.78x0.29,Steatite,,,,First St. (18),-21.8,DK 8411,66,DK,-21.8,Intermediate III
669,B,1.16x1.14x0.31,Steatite,,,,Bet. Bls. 11 & 12,-21.8,DK 6934,66,DK,-21.8,Intermediate III
670,B,0.6x0.6x0.2,Steatite,7,VIII,16,,-21.9,DK 8853,66,DK,-21.9,Intermediate III
671,B,?x?x0.25,Steatite,,,,First St. (21),-22.0,DK 8666,66,DK,-22.0,Early
672,B,?x?x0.3,Steatite,,VI,,Bet. Bls. 5 & 7,-22.2,DK 7321,66,DK,-22.2,Early
673,B,0.86x0.79x0.19,Steatite,,,,Bet. Bls. 10A & 11,-22.6,DK 7289,66,DK,-22.6,Early
674,B,1.2x1.18x0.25,Steatite,,,,First St. (12),-22.6,DK 8634,66,DK,-22.6,Early
675,B,0.96x0.96x0.32,Steatite,,,,First St. (1),-22.8,DK 8792,66,DK,-22.8,Early
676,B,1.28x1.28x0.4,Steatite,7,I,3,,-23.4,DK 9475,66,DK,-23.4,Early
677,B,1.13x1.1x0.25,Steatite,,,,Bet. Bls. 10 & 12,-23.6,DK 7040,66,DK,-23.6,Early
678,B,0.9x0.87x0.3,Steatite,,,,Bet. Bls. 10 & 12,-23.7,DK 7050,66,DK,-23.7,Early
679,F,1.32x0.55x0.5,Steatite,,,,Bet. Bls. 10 & 12,-23.7,DK 7061,66,DK,-23.7,Early
680,B,1.34x1.34x0.36,Steatite,,,,Bet. Bls. 10A & 12,-23.8,DK 7147,66,DK,-23.8,Early
681,B,1.34x0.98x0.35,Steatite,,,,Bet. Bls. 10A & 12,-24.0,DK 6700,66,DK,-24.0,Early
682,F,0.7x0.49x0.41,Steatite,1A,,89,,-24.4,DK 5831,66,DK,-24.4,Early
683,D,0.95x0.28x0.12,Steatite,,,,Bet. Bls. 1 & 10 (I),-25.1,DK 9427,66,DK,-25.1,Early
684,B,0.7x0.7x0.18,Steatite,7,I,14,,-25.4,DK 9506,66,DK,-25.4,Early
685,B,1.32x1.32x0.4,Steatite,7,I,3,,-26.9,DK 9563,66,DK,-26.9,Early
686,B,1.18x0.87x0.36,Steatite,7,I,3,,-30.5,DK 9713,66,DK,-30.5,Early
