no,type,dims_in,material,block,house,room,street,level_ft,field_no,pdf_page,area,level_dk_ft,phase_estimate
284,B,1.0x0.96x0.27,Steatite,8,III,37,,-9.5,DK 8103,54,DK,-9.5,Late III
285,B,1.15x1.14x0.31,Steatite,12,V,95,,-9.7,DK 5575,54,DK,-9.7,Late III
286,B,1.0x1.0x0.29,Steatite,8,III,47,,-9.6,DK 12449,54,DK,-9.6,Late III
287,B,1.45x?x0.41,Steatite,8,III,37,,-9.9,DK 8105,54,DK,-9.9,Late III
288,F,1.45x0.6x0.4,Steatite,12A,II,12,,-9.9,DK 5476,54,DK,-9.9,Late III
289,F,1.15x0.48x0.35,Steatite,2,I,8,,-10.2,DK 4271,54,DK,-10.2,Late III
290,B,1.0x1.0x0.25,Steatite,,,,Bet. Bls. 1 (III) & 3,-9.7,DK 4458,54,DK,-9.7,Late III
291,B,0.88x0.58x0.42,Steatite,9,I,24,,-9.8,DK 8150,54,DK,-9.8,Late III
292,D,1.03x0.45x0.3,Steatite,4,,6,,-9.8,DK 5667,54,DK,-9.8,Late III
293,B,0.9x0.9x0.3,Steatite,8,II,17,,-9.9,DK 7906,54,DK,-9.9,Late III
294,B,0.8x0.8x0.25,Steatite,7,III,52,,-9.7,DK 5718,54,DK,-9.7,Late III
295,B,0.88x0.88x0.23,Steatite,9,I,37,,-9.9,DK 8106,54,DK,-9.9,Late III
296,B,0.7x0.7x0.19,Steatite,7,VI,76,,-9.9,DK 7200,54,DK,-9.9,Late III
297,F,2.05x0.58x0.42,Steatite,1,I,15,,-10.0,DK 4546,54,DK,-10.0,Late III
298,B,0.91x0.91x0.28,Steatite,9,IX,63,,-10.1,DK 12851,54,DK,-10.1,Late III
299,C,0.6x0.6x0.25,Steatite,6,II,10,,-10.0,DK 3876,54,DK,-10.0,Late III
300,B,0.82x0.8x0.28,Steatite,18,,40,,-10.1,DK 12323,54,DK,-10.1,Late III
301,F,2.23x0.53x0.46,Steatite,1,III,2,,-10.1,DK 4603,54,DK,-10.1,Late III
302,F,1.14x0.5x0.35,Steatite,,,,Bet. Bls. 3 & 4,-10.2,DK 3463,54,DK,-10.2,Late III
303,F,?x0.4x0.02,Steatite,7,V,78,,-10.2,DK 7883,54,DK,-10.2,Late III
304,B,0.95x0.92x0.29,Steatite,3,IV,48,,-10.2,DK 4155,54,DK,-10.2,Late III
305,B,0.93x0.93x0.25,Steatite,7,IX,33,,-10.4,DK 8041,54,DK,-10.4,Late III
306,B,1.49x1.49x0.37,Steatite,,,,First St. (28),-10.3,DK 12606,55,DK,-10.3,Late III
307,B,1.3x1.3x0.33,Steatite,3,V,12,,-10.1,DK 3606,55,DK,-10.1,Late III
308,F,0.95x0.45x0.25,Steatite,1,I,12,,-10.3,DK 5429,55,DK,-10.3,Late III
309,B,0.9x0.9x0.25,Steatite,8,III,31,,-10.3,DK 12502,55,DK,-10.3,Late III
310,B,1.17x1.5x0.24,Steatite,,,,Bet. Bls. 12 & 12A,-10.3,DK 5095,55,DK,-10.3,Late III
311,B,0.93x0.93x0.25,Steatite,5,II,7,,-10.5,DK 3370,55,DK,-10.5,Late III
312,B,1.07x?x0.3,Steatite,10,IV,84,,-10.5,DK 6914,55,DK,-10.5,Late III
313,B,0.75x0.75x0.19,Steatite,,,,Bet. Bls. 7 & 8,-10.3,DK 3522,55,DK,-10.3,Late III
314,B,1.39x1.4x0.34,Steatite,3,V,10,,-10.5,DK 5128,55,DK,-10.5,Late III
315,F,1.01x0.8x0.42,Steatite,29,I,1,,-10.4,DK 12551,55,DK,-10.4,Late III
316,B,1.08x1.09x0.29,Steatite,,,,Bet. Bls. 1 (I) & 2,-10.5,DK 7039,55,DK,-10.5,Late III
317,B,?x?x0.28,Steatite,10,IV,81,,-10.5,DK 6498,55,DK,-10.5,Late III
318,F,0.76x0.44x0.28,Steatite,16,I,5,,-10.5,DK 11824,55,DK,-10.5,Late III
319,F,1.2x0.65x0.48,Steatite,,,,Bet. Bls. 1 (I) & 2,-10.5,DK 5892,55,DK,-10.5,Late III
320,E,0.61x0.6x0.13,Steatite,10,IV,79,,-10.8,DK 5632,55,DK,-10.8,Late III
321,B,0.56x0.59x0.21,Steatite,6A,,33,,-10.4,DK 12586,55,DK,-10.4,Late III
322,B,0.97x0.9x0.3,Steatite,8,I,8,,-10.6,DK 12835,55,DK,-10.6,Late III
323,B,1.21x1.18x0.27,Steatite,9,X,55,,-10.6,DK 12782,55,DK,-10.6,Late III
324,B,1.41x0.93x0.5,Steatite,9,IV,6,,-10.6,DK 8222,55,DK,-10.6,Late III
325,F,1.88x0.66x0.37,Steatite,4,,2,,-10.7,DK 7048,55,DK,-10.7,Late III
326,B,0.9x0.92x0.26,Steatite,6,I,3,,-10.6,DK 3719,55,DK,-10.6,Late III
327,D,0.78x0.46x0.2,Steatite,1,VI,52,,-10.7,DK 3473,55,DK,-10.7,Late III
328,C,0.73x0.07x0.3,Steatite,14,I,2,,-10.6,DK 11795,55,DK,-10.6,Late III
329,D,0.78x0.46x0.2,Steatite,1,VI,52,,-10.7,DK 5473,55,DK,-10.7,Late III
330,B,?x?x0.35,Steatite,,,,Bet. Bls. 1 (I) & 2,-10.8,DK 5840,55,DK,-10.8,Late III
331,B,?x?x0.29,Steatite,9,IV,4,,-10.8,DK 8224,55,DK,-10.8,Late III
332,B,1.12x1.12x0.24,Steatite,,,,West St.,-10.7,DK 12158,55,DK,-10.7,Late III
333,B,1.35x1.32x0.4,Steatite,2,I,6,,-10.8,DK 4321,55,DK,-10.8,Late III
334,B,1.07x1.07x0.3,Steatite,7,II,88,,-10.8,DK 3692,55,DK,-10.8,Late III
335,B,?x?x0.25,Steatite,,,,Bet. Bls. 3 & 4,-10.8,DK 3423,55,DK,-10.8,Late III
336,F,1.09x0.56x0.35,Steatite,10,III,63,,-10.8,DK 5174,55,DK,-10.8,Late III
