500,H,1.1x0.21,Steatite,,,,Bet. Bls. 1 & 7,-14.8,DK 6844,61
501,B,1.1x0.9x0.29,Steatite,4,,12,,-14.9,DK 5852,61
502,B,0.67x0.65x0.25,Steatite,1,I,22,,-14.9,DK 7676,61
503,B,1.07x1.05x0.3,Steatite,1,IV,61,,-15.0,DK 5459,61
504,B,0.85x0.85x0.25,Steatite,10,I,5,,-15.0,DK 5925,61
505,D,0.75x0.36x0.1,Steatite,1,II,32,,-15.0,DK 5671,61
506,B,0.95x0.95x0.3,Steatite,1,IV,73,,-15.1,DK 5533,61
507,B,1.15x1.12x0.3,Steatite,2,I,10,,-15.1,DK 4313,61
508,D,0.8x0.4x0.18,Steatite,,,,First St. (10),-15.1,DK 8089,61
509,A,0.8,Steatite,1,VIII,63,,-15.1,DK 5849,61
510,I,1.0x0.86x0.21,Steatite,9,VI,34,,-15.2,DK 8321,61
511,B,1.2x1.2x0.34,Steatite,,,,Bet. 1 & 10 (I),-15.2,DK 6689,61
512,B,1.04x1.04x0.25,Steatite,1,V,47,,-15.3,DK 6764,61
513,B,1.05x1.04x0.3,Steatite,,,,Bet. Bls. 12 & 12A,-15.3,DK 5392,61
514,B,1.0x1.0x0.27,Steatite,,,,Bet. Bls. 12 & 12A,-15.3,DK 5368,61
515,F,0.85x0.4x0.26,Steatite,1,IV,30,,-15.3,DK 5413,61
516,B,0.5x0.47x0.21,Steatite,1,I,16,,-15.3,DK 8864,61
517,B,0.78x0.77x0.2,Steatite,12,V,92,,-15.3,DK 5601,61
518,B,1.1x1.1x0.26,Steatite,3,IV,45,,-15.4,DK 7221,61
519,B,1.2x1.2x0.3,Steatite,7,V,66,,-15.4,DK 8104,61
520,B,0.64x0.64x0.16,Silver,12,I,4,,-15.4,DK 8563,61
521,B,1.23x1.2x0.27,ditto after Silver (as printed),,,,Bet. Bls. 1 (V) & 10,-15.5,DK 5935,61
522,B,1.26x1.25x0.34,ditto after Silver (as printed),3,III,26,,-15.5,DK 7033,61
523,B,0.71x0.71x0.2,ditto after Silver (as printed),7,IX,31,,-15.5,DK 8023,61
524,B,1.32x1.27x0.33,ditto after Silver (as printed),,,,First St. (21),-15.6,DK 7708,61
525,B,0.61x0.6x0.15,ditto after Silver (as printed),1,I,16,,-15.7,DK 7052,61
526,D,0.94x0.4x0.32,ditto after Silver (as printed),5,III,8,,-15.7,DK 7694,61
527,B,0.66x0.66x0.19,ditto after Silver (as printed),9A,V,67,,-15.7,DK 8406,61
528,D,1.5x0.73x0.4,ditto after Silver (as printed),9A,V,75,,-15.7,DK 6698,61
529,B,1.29x1.0x0.33,ditto after Silver (as printed),1,V,45,,-15.8,DK 7512,61
530,B,1.51x1.5x0.44,ditto after Silver (as printed),1,I,74,,-15.8,DK 5605,61
531,B,1.1x0.74x0.26,ditto after Silver (as printed),3,VI,47,,-15.9,DK 7150,61
532,B,0.95x0.95x0.3,ditto after Silver (as printed),,,,Bet. Bls. 11 & 12A,-15.9,DK 4907,61
