533,B,1.1x1.1x0.28,Silver (as printed),,,,First St. (10),-15.9,DK 8168,62
534,B,1.15x1.15x0.3,ditto after Silver (as printed),,,,First St. (10),-15.9,DK 8166,62
535,B,1.03x1.02x0.28,ditto after Silver (as printed),,,,Bet. Bls. 1 (IV) & 10,-15.9,DK 5969,62
536,B,1.12x1.15x0.28,ditto after Silver (as printed),7,VIII,28,,-15.9,DK 6002,62
537,F,1.64x0.55x0.32,ditto after Silver (as printed),,,,Bet. Bls. 10A and 11,-23.6,DK 7172,62
538,B,1.04x1.04x0.33,ditto after Silver (as printed),1,VI,52,,-16.0,DK 7190,62
539,B,1.31x1.31x0.35,ditto after Silver (as printed),7,III,43,,-16.1,DK 8242,62
540,B,0.69x0.69x0.25,Steatite,,I,,Lane east of Bl. 1,-16.1,DK 3889,62
541,F,1.41x0.49x0.33,Steatite,,I,,Lane east of Bl. 1,-16.1,DK 7406,62
542,D,1.05x0.73x0.46,Steatite,12A,II,18,,-16.2,DK 7269,62
543,B,1.1x1.1x0.3,Steatite,10,III,55,,-16.2,DK 6210,62
544,D,1.05x0.73x0.46,Steatite,12A,II,18,,-16.2,DK 7269,62
545,B,0.95x0.82x0.29,Steatite,8,II,18,,-16.2,DK 9111,62
546,B,1.01x1.0x0.33,Steatite,1,IV,24,,-16.3,DK 6125,62
547,B,0.76x0.76x0.19,Steatite,,,,Bet. Bls. 1 (III) & 7,-16.3,DK 6448,62
548,B,1.05x1.05x0.34,Steatite,4,,13,,-16.4,DK 5707,62
549,B,0.99x0.98x0.32,Steatite,,,,Bet. Bls. 11 & 12A,-16.4,DK 5418,62
550,E,0.7x0.7x0.15,Steatite,,,,Bet. Bls. 11 & 12A,-16.4,DK 5414,62
551,B,0.77x0.27x0.28,Faience (as printed),,,,Bet. Bls. 9A & 12A,-16.4,DK 5573,62
552,B,0.91x0.9x0.28,ditto after Faience (as printed),1,I,74,,-16.5,DK 5636,62
553,B,0.91x0.9x0.28,ditto after Faience (as printed),1,I,74,,-16.5,DK 5636,62
554,B,1.0x0.98x0.22,ditto after Faience (as printed),1,VIII,63,,-16.5,DK 5875,62
555,B,1.07x1.07x0.36,ditto after Faience (as printed),,I,,Lane east of Bl. 1,-16.5,DK 7333,62
556,B,1.1x1.1x0.3,ditto after Faience (as printed),7,V,54,,-16.5,DK 7790,62
557,B,0.75x0.71x0.21,ditto after Faience (as printed),7,III,46,,-16.5,DK 8279,62
558,B,1.03x0.65x0.34,ditto after Faience (as printed),2,IV,20,,-16.5,DK 7447,62
559,B,0.65x0.4x0.33,ditto after Faience (as printed),2,IV,20,,-16.5,DK 7448,62
560,B,0.77x0.75x0.28,ditto after Faience (as printed),7,VII,57,,-16.5,DK 7570,62
561,B,1.36x1.36x0.35,ditto after Faience (as printed),9A,V,75,,-16.6,DK 7280,62
562,B,1.2x1.16x0.3,ditto after Faience (as printed),9,VIII,14,,-16.7,DK 6795,62
563,B,0.97x0.97x0.3,ditto after Faience (as printed),,,,Bet. Bls. 11 & 12A,-16.7,DK 5432,62
564,B,0.9x0.9x0.22,ditto after Faience (as printed),7,VIII,53,,-16.8,DK 8463,62
565,B,0.5x0.5x0.1,ditto after Faience (as printed),7,IV,49,,-16.8,DK 8218,62
