664,B,0.9x0.85x0.2,Steatite,,,,First St. (6),-21.3,DK 8650,66
665,B,?x?x0.3,Steatite,,,,First St. (21),-21.4,DK 8479,66
666,B,1.21x1.21x0.31,Steatite,4,,16,,-21.6,DK 8923,66
667,B,1.27x1.05x0.29,Steatite,,,,First St. (1),-21.7,DK 8764,66
668,F,0.95x0.78x0.29,Steatite,,,,First St. (18),-21.8,DK 8411,66
669,B,1.16x1.14x0.31,Steatite,,,,Bet. Bls. 11 & 12,-21.8,DK 6934,66
670,B,0.6x0.6x0.2,Steatite,7,VIII,16,,-21.9,DK 8853,66
671,B,?x?x0.25,Steatite,,,,First St. (21),-22.0,DK 8666,66
672,B,?x?x0.3,Steatite,,VI,,Bet. Bls. 5 & 7,-22.2,DK 7321,66
673,B,0.86x0.79x0.19,Steatite,,,,Bet. Bls. 10A & 11,-22.6,DK 7289,66
674,B,1.2x1.18x0.25,Steatite,,,,First St. (12),-22.6,DK 8634,66
675,B,0.96x0.96x0.32,Steatite,,,,First St. (1),-22.8,DK 8792,66
676,B,1.28x1.28x0.4,Steatite,7,I,3,,-23.4,DK 9475,66
677,B,1.13x1.1x0.25,Steatite,,,,Bet. Bls. 10 & 12,-23.6,DK 7040,66
678,B,0.9x0.87x0.3,Steatite,,,,Bet. Bls. 10 & 12,-23.7,DK 7050,66
679,F,1.32x0.55x0.5,Steatite,,,,Bet. Bls. 10 & 12,-23.7,DK 7061,66
680,B,1.34x1.34x0.36,Steatite,,,,Bet. Bls. 10A & 12,-23.8,DK 7147,66
681,B,1.34x0.98x0.35,Steatite,,,,Bet. Bls. 10A & 12,-24.0,DK 6700,66
682,F,0.7x0.49x0.41,Steatite,1A,,89,,-24.4,DK 5831,66
683,D,0.95x0.28x0.12,Steatite,,,,Bet. Bls. 1 & 10 (I),-25.1,DK 9427,66
684,B,0.7x0.7x0.18,Steatite,7,I,14,,-25.4,DK 9506,66
685,B,1.32x1.32x0.4,Steatite,7,I,3,,-26.9,DK 9563,66
686,B,1.18x0.87x0.36,Steatite,7,I,3,,-30.5,DK 9713,66
686A,B,1.6x1.55x0.33,Steatite,,,,Bet. Bls. 1 (IV) & 10,-14.9,DK 6847,66
686B,B,0.97x0.95x0.21,Steatite,,,,Bet. Bls. 10 & 12,-14.8,DK 7734,66
686C,B,1.38x1.38x0.38,Steatite,,,,Bet. Bls. 9 (VIII) & 10,-18.1,DK 7665,66
687,B,1.0x0.97x0.26,Steatite,,,,North of DK Area (164),-16.0,DK.H. 10,66
688,F,0.8x0.6x0.3,Steatite,,,,North of DK Area (164),-17.8,DK.H. 7,66
689,B,1.5x1.46x0.37,Steatite,,,,North of DK Area (164),-18.5,DK.H. 31,66
690,B,1.65x0.77x0.39,Steatite,,,,North of DK Area (164),-19.1,DK.H. 64,66
691,B,1.22x1.22x0.36,Steatite,,,,North of DK Area (164),-19.3,DK.H. 36,66
692,B,0.83x0.80x0.26,Steatite,,,,North of DK Area (164),-22.1,DK.H. 66,66
693,B,0.9x0.9,Steatite,,,,Surface (SD area),surface,SD 2823,66
