401,B,0.85x0.8x0.2,Steatite,9,IV,6,,-12.4,DK 8249,58
402,B,0.92x0.92x0.26,Steatite,,,,Alley west of Bl. 1,-12.4,DK 6713,58
403,B,0.96x0.96x0.25,Steatite,3,III,36,,-12.4,DK 3818,58
404,B,0.8x0.58x0.25,Steatite,7,VII,57,,-12.4,DK 7571,58
405,C,1.05x1.05x0.45,Steatite,6,I,1,,-12.4,DK 4161,58
406,B,1.35x1.35x0.35,Steatite,7,V,78,,-12.5,DK 7925,58
407,B,0.95x0.93x0.29,Steatite,,,,Bet. Bls. 1 & 10 (I),-12.5,DK 6422,58
408,B,0.8x0.8x0.28,Steatite,,II,,West of Bl. 1,-12.2,DK 8450,58
409,B,0.65x0.64x0.2,Steatite,8,II,23,,-12.5,DK 8877,58
410,B,0.77x0.77x0.25,Steatite,7,V,66,,-12.5,DK 8028,58
411,B,1.2x1.2x0.3,Steatite,1,VI,52,,-12.6,DK 5307,58
412,B,1.47x0.62x0.4,Steatite,1,VII,35,,-16.8,DK 5323,58
413,B,0.95x0.95x0.3,Steatite,1,I,21,,-12.7,DK 6093,58
414,D,1.09x0.62x0.35,Steatite,1,I,16,,-12.7,DK 6901,58
415,B,0.79x0.79x0.22,Steatite,,,,Bet. Bls. 1 & 10 (I),-12.7,DK 6596,58
416,B,1.5x0.75x0.47,Steatite,,I,,Lane east of Bl. 1,-12.7,DK 7257,58
417,B,1.22x1.22x0.3,Steatite,3,VI,39,,-12.8,DK 3790,58
418,B,0.82x0.81x0.2,Steatite,1,VII,38,,-12.8,DK 5651,58
419,B,0.82x0.81x0.26,Steatite,1,III,1,,-12.8,DK 5787,58
420,B,1.4x1.39x0.3,Steatite,1,II,7,,-12.8,DK 5175,58
421,B,1.2x1.15x0.35,Steatite,1,VI,56,,-12.8,DK 5494,58
422,B,2.3x2.3x0.65,Steatite,1,I,18,,-12.8,DK 5419,58
423,B,0.86x0.85x0.3,Steatite,8,III,37,,-12.9,DK 5717,58
424,B,1.01x1.0x0.29,Steatite,10,II,20,,-12.9,DK 7062,58
425,B,1.08x0.7x0.31,Steatite,7,V,54,,-12.9,DK 5697,58
426,B,1.11x1.1x0.34,Steatite,1,III,1,,-12.9,DK 5821,58
427,B,1.06x1.06x0.32,Steatite,,III,,Bet. Bls. 7 & 9,-12.9,DK 8359,58
428,F,1.03x0.5x0.3,Steatite,,,,Bet. Bls. 1 (V) & 10,-13.0,DK 5820,58
429,B,0.98x0.94x0.3,Steatite,9,VII,17,,-12.0,DK 6380,58
430,B,1.6x1.55x0.33,Steatite,,,,Bet. Bls. 1 (IV) & 10,-14.9,DK 6847,58
431,B,1.97x1.33x0.52,Steatite,9,VIII,18,,-13.0,DK 8378,58
432,B,1.34x0.8x0.39,Steatite,,III,,Bet. Bls. 9 & 10,-13.0,DK 6624,58
433,B,0.88x0.87x0.28,Steatite,,,,Alley west of Bl. 1,-13.0,DK 5859,58
