39,F,0.66x0.3x0.24,Steatite,9,I,47,,-4.8,DK 10567,47
40,B,0.35 thick,Steatite,8,II,21,,-4.5,DK 3344,47
41,F,1.0x0.5x0.4,Steatite,18,,57,,-4.5,DK 10231,47
42,B,1.0x0.75x0.3,Steatite,,VIII,,St. bet. Bls. 7 & 9,-4.6,DK 3439,47
43,F,1.35x0.55x0.44,Steatite,25,I,13,,-4.7,DK 10101,47
44,F,1.23x0.53x0.38,Steatite,16,II,11,,-4.7,DK 11625,47
45,B,0.8x0.78x0.25,Steatite,8A,,44,,-4.5,DK 10829,47
46,F,1.35x0.42x0.3,Steatite,9,III,30,,-4.9,DK 3530,47
47,B,0.8x0.8x0.25,Steatite,8A,,41,,-4.6,DK 12018,47
49,F,1.03x0.33x0.28,Steatite,9,I,46,,-4.7,DK 10609,47
50,B,1.0x0.98x0.3,Steatite,15,V,22,,-4.6,DK 10208,47
51,B,1.3x1.3x0.36,Steatite,19,,7,,-4.7,DK 12418,47
52,B,1.07x1.09x0.3,Steatite,6A,,38,,-4.8,DK 10359,47
53,B,?x?x0.3,Steatite,22,,10,,-4.6,DK 10271,47
54,B,1.29x?x0.35,Steatite,16,II,11,,-4.6,DK 11649,47
55,F,0.62x0.38x0.25,Steatite,7,V,54,,-5.2,DK 3329,47
56,B,0.9x0.9x0.26,Steatite,22,,3,,-4.7,DK 10974,47
57,B,0.9x0.9x0.26,Steatite,,,,Central St.,-4.7,DK 10366,47
58,B,0.7x0.7x0.34,Steatite,13,III,11,,-4.6,DK 11439,47
59,?,0.7x0.62x0.3,Steatite,17,III,23,,-4.7,DK 11550,47
60,B,0.82x0.82x0.28,Steatite,19,,9,,-4.7,DK 12110,47
61,F,0.91x0.45x0.3,Steatite,20,I,1,,-4.9,DK 12344,47
62,B,1.2x0.95x0.3,Steatite,9,VI,30,,-4.9,DK 4479,47
63,F,1.0x?x0.3,Steatite,16,II,11,,-5.2,DK 10471,47
64,B,1.88x1.98x0.28,Steatite,9,VII,52,,-4.9,DK 4671,47
65,B,1.3x1.3x0.5,Steatite,7,V,52,,-5.0,DK 3399,47
66,B,0.8x0.8x0.2,Steatite,16,II,11,,-5.0,DK 11690,47
67,B,1.0x0.98x0.3,Steatite,15,IV,17,,-5.0,DK 11126,47
68,B,2.07x?x0.5,Steatite,17,III,23,,-5.2,DK 11713,47
69,B,0.85x0.85x0.3,Steatite,5,I,7,,-5.3,DK 3432,47
70,B,1.17x1.17x0.36,Steatite,18,,78,,-5.4,DK 12342,47
72,F,0.53x0.39x0.27,Steatite,14,III,24,,-5.4,DK 11433,47
73,F,0.7x0.4x0.2,Faience,9A,VIII,48,,-6.0,DK 12703,47
