74,B,1.45x1.45x0.32,Steatite,23,II,11,,-5.6,DK 11862,48
75,B,1.36x1.36x0.25,Steatite,13,III,13,,-5.6,DK 11794,48
76,B,1.28x1.28x0.38,Steatite,18,,88,,-5.5,DK 11997,48
77,F,1.3x0.58x0.4,Steatite,7,VI,76,,-5.7,DK 3957,48
78,A,1.65x0.55,Faience,25,I,4,,-5.9,DK 10079,48
79,B,1.05x1.05x0.34,Steatite,7,II,87,,-5.6,DK 3472,48
80,B,1.25x1.25x0.3,Steatite,8,III,30,,-5.6,DK 10923,48
81,B,0.92x0.9x0.25,Steatite,22,,2,,-5.6,DK 10905,48
82,B,0.98x1.0x0.3,Steatite,22,,2,,-5.6,DK 10906,48
83,B,1.12x1.09x0.35,Steatite,18,,111,,-5.7,DK 11249,48
84,B,1.45x1.45x0.4,Steatite,18,,44,,-5.6,DK 11284,48
85,B,1.25x1.25x0.3,Steatite,14,II,8,,-5.9,DK 11030,48
86,B,1.24x1.24x0.46,Steatite,20,II,13,,-5.7,DK 12596,48
87,B,0.9x0.9x0.26,Steatite,18,,99,,-5.8,DK 11868,48
88,B,0.98x0.98x0.28,Steatite,,,,First St. (30),-5.9,DK 10279,48
89,B,?x?x0.14,Steatite,22,,4,,-5.8,DK 10973,48
90,B,0.84x0.84x0.25,Steatite,26,I,6,,-5.9,DK 10091,48
91,B,1.13x1.13x0.38,Steatite,22,,4,,-5.8,DK 10963,48
92,F,1.6x0.66x0.62,Steatite,3,V,8,,-5.9,DK 3987,48
93,F,0.7x0.45x0.25,Steatite,16,II,19,,-5.1,DK 10222,48
94,B,1.3x0.53x0.4,Steatite,10,III,66,,-6.0,DK 4688,48
95,B,0.86x0.85x0.32,Steatite,23,II,8,,-6.1,DK 3500,48
96,B,0.7x0.7x0.26,Steatite,9,VIII,15,,-6.4,DK 12123,48
97,F,1.04x0.6x0.35,Steatite,15,VI,27,,-6.1,DK 11375,48
98,B,1.59x?x0.4,Steatite,21,I,2,,-6.1,DK 10914,48
99,B,1.1x1.1x0.34,Steatite,18,,39,,-6.1,DK 11359,48
100,D,1.15x0.7x0.4,Steatite,9,VIII,16,,-6.1,DK 7995,48
101,F,1.53x0.68x0.5,Steatite,25,I,10,,-6.3,DK 11378,48
102,B,1.13x1.13x0.33,Steatite,8,III,47,,-6.1,DK 10948,48
103,B,1.4x1.4x0.4,Steatite,9,VIII,21,,-6.1,DK 7945,48
104,B,1.0x1.0x0.3,Steatite,7,VIII,28,,-6.1,DK 4180,48
105,B,1.0x1.0x0.25,Steatite,9,VIII,21,,-6.1,DK 7956,48
106,F,1.22x0.56x0.4,Steatite,8,III,28,,-6.2,DK 11877,48
