306,B,1.49x1.49x0.37,Steatite,,,,First St. (28),-10.3,DK 12606,55
307,B,1.3x1.3x0.33,Steatite,3,V,12,,-10.1,DK 3606,55
308,F,0.95x0.45x0.25,Steatite,1,I,12,,-10.3,DK 5429,55
309,B,0.9x0.9x0.25,Steatite,8,III,31,,-10.3,DK 12502,55
310,B,1.17x1.5x0.24,Steatite,,,,Bet. Bls. 12 & 12A,-10.3,DK 5095,55
311,B,0.93x0.93x0.25,Steatite,5,II,7,,-10.5,DK 3370,55
312,B,1.07x?x0.3,Steatite,10,IV,84,,-10.5,DK 6914,55
313,B,0.75x0.75x0.19,Steatite,,,,Bet. Bls. 7 & 8,-10.3,DK 3522,55
314,B,1.39x1.4x0.34,Steatite,3,V,10,,-10.5,DK 5128,55
315,F,1.01x0.8x0.42,Steatite,29,I,1,,-10.4,DK 12551,55
316,B,1.08x1.09x0.29,Steatite,,,,Bet. Bls. 1 (I) & 2,-10.5,DK 7039,55
317,B,?x?x0.28,Steatite,10,IV,81,,-10.5,DK 6498,55
318,F,0.76x0.44x0.28,Steatite,16,I,5,,-10.5,DK 11824,55
319,F,1.2x0.65x0.48,Steatite,,,,Bet. Bls. 1 (I) & 2,-10.5,DK 5892,55
320,E,0.61x0.6x0.13,Steatite,10,IV,79,,-10.8,DK 5632,55
321,B,0.56x0.59x0.21,Steatite,6A,,33,,-10.4,DK 12586,55
322,B,0.97x0.9x0.3,Steatite,8,I,8,,-10.6,DK 12835,55
323,B,1.21x1.18x0.27,Steatite,9,X,55,,-10.6,DK 12782,55
324,B,1.41x0.93x0.5,Steatite,9,IV,6,,-10.6,DK 8222,55
325,F,1.88x0.66x0.37,Steatite,4,,2,,-10.7,DK 7048,55
326,B,0.9x0.92x0.26,Steatite,6,I,3,,-10.6,DK 3719,55
327,D,0.78x0.46x0.2,Steatite,1,VI,52,,-10.7,DK 3473,55
328,C,0.73x0.07x0.3,Steatite,14,I,2,,-10.6,DK 11795,55
329,D,0.78x0.46x0.2,Steatite,1,VI,52,,-10.7,DK 5473,55
330,B,?x?x0.35,Steatite,,,,Bet. Bls. 1 (I) & 2,-10.8,DK 5840,55
331,B,?x?x0.29,Steatite,9,IV,4,,-10.8,DK 8224,55
332,B,1.12x1.12x0.24,Steatite,,,,West St.,-10.7,DK 12158,55
333,B,1.35x1.32x0.4,Steatite,2,I,6,,-10.8,DK 4321,55
334,B,1.07x1.07x0.3,Steatite,7,II,88,,-10.8,DK 3692,55
335,B,?x?x0.25,Steatite,,,,Bet. Bls. 3 & 4,-10.8,DK 3423,55
336,F,1.09x0.56x0.35,Steatite,10,III,63,,-10.8,DK 5174,55
337,B,1.15x1.1x0.3,Steatite,7,IX,30,,-10.8,DK 7888,55
338,B,1.05x1.05x0.3,Steatite,7,II,88,,-10.8,DK 3693,55
