107,B,1.08x1.1x0.3,Steatite,1,IV,41,,-6.3,DK 4695,49
108,B,1.2x1.2x0.35,Steatite,21,IV,23,,-6.4,DK 12318,49
109,B,1.23x1.23x0.29,Steatite,15,IV,17,,-6.3,DK 11196,49
110,B,1.07x1.07x0.29,Steatite,15,VI,29,,-6.3,DK 11329,49
111,B,1.02x1.01x0.3,Steatite,20,I,1,,-6.4,DK 12963,49
112,B,?x?x0.3,Steatite,7,VIII,22,,-6.4,DK 4028,49
113,B,0.72x0.71x0.23,Steatite,20,II,19,,-6.4,DK 13036,49
114,B,1.1x1.05x0.29,Steatite,,,,First St. (28),-6.4,DK 10317,49
115,B,1.09x1.09x0.38,Steatite,,,,West St.,-6.4,DK 11374,49
116,B,0.85x?x0.28,Steatite,23,II,11,,-6.6,DK 11845,49
117,B,1.1x?x0.3,Steatite,,,,First St. (30),-6.5,DK 10289,49
118,F,?x0.5x0.3,Steatite,7,III,42,,-6.5,DK 7921,49
119,B,1.6x?x0.35,Steatite,26,I,5,,-6.7,DK 10551,49
120,F,1.63x0.45x0.35,Steatite,9,IX,75,,-6.5,DK 10400,49
121,B,1.05x1.05x0.25,Steatite,,,,,-6.5,DK 7908,49
122,B,0.91x0.91x0.3,Steatite,,,,West St.,-6.6,DK 11373,49
123,B,1.25x1.25x0.33,Steatite,26,I,2,,-6.6,DK 10965,49
124,B,1.21x1.21x0.34,Steatite,,,,First St. (30),-6.6,DK 10460,49
125,F,0.98x0.38x0.3,Steatite,21,III,31,,-6.6,DK 10915,49
126,B,1.01x1.01x0.27,Steatite,9,VIII,10,,-6.7,DK 7993,49
127,B,1.17x1.17x0.39,Steatite,21,IV,27,,-6.6,DK 12356,49
128,B,1.3x1.27x0.37,Steatite,8A,,44,,-6.6,DK 10916,49
129,B,1.2x1.2x0.3,Steatite,16,II,15,,-6.8,DK 11349,49
130,B,1.48x1.45x0.34,Steatite,25,I,6,,-6.7,DK 11358,49
131,B,1.0x0.95x0.3,Steatite,1,V,43,,-6.6,DK 4812,49
132,B,1.1x1.1x0.35,Steatite,18,,87,,-6.7,DK 12222,49
133,D,1.35x0.57x0.38,Steatite,9,VIII,20,,-6.8,DK 8037,49
134,B,1.15x1.15x0.37,Steatite,9,XII,92,,-6.8,DK 11298,49
135,B,0.7x0.7x0.45,Steatite,9,IV,6,,-6.8,DK 4085,49
136,B,1.0x1.0x0.28,Steatite,23,I,2,,-6.7,DK 11607,49
137,B,1.1x0.95x0.3,Steatite,7,IX,31,,-6.6,DK 4624,49
138,F,1.6x0.58x0.48,Steatite,7,VI,61,,-6.9,DK 4181,49
139,B,0.89x0.85x0.29,Steatite,18,,87,,-6.8,DK 12202,49
