467,B,1.1x?x0.34,Steatite,12,V,91,,-13.8,DK 5582,60
468,B,1.2x1.2x0.33,Steatite,,,,First St. (10),-13.9,DK 8026,60
469,B,1.02x1.02x0.27,Steatite,,,,Bet. Bls. 1 & 10 (I),-13.9,DK 6360,60
470,F,1.5x0.5x0.35,Steatite,1,I,15,,-13.9,DK 5708,60
471,B,1.25x1.0x0.29,Steatite,9,VII,17,,-13.9,DK 6429,60
472,B,0.82x0.82x0.3,Steatite,5,I,4,,-14.0,DK 4073,60
473,B,0.95x0.75x0.3,Steatite,7,I,15,,-14.0,DK 6266,60
474,B,0.87x0.85x0.2,Steatite,2,III,16,,-14.0,DK 4301,60
475,B,1.1x1.1x0.3,Steatite,,,,Lane bet. Bls. 1 & 7,-14.0,DK 6777,60
476,B,1.08x1.07x0.35,Steatite,1,III,2,,-14.0,DK 5709,60
477,F,1.42x0.62x0.3,Steatite,3,IV,45,,-14.1,DK 3755,60
478,B,1.2x1.2x0.3,Steatite,4,,13,,-14.1,DK 4967,60
479,B,0.95x0.95x0.2,Marble,12A,II,21,,-14.3,DK 7313,60
480,B,1.15x1.12x0.29,Steatite,3,VI,31,,-14.4,DK 4151,60
481,B,1.15x1.15x0.39,Steatite,,I,,Lane east of Bl. 1,-14.4,DK 7137,60
482,-,1.81,Ivory,7,V,54,,-14.4,DK 7366,60
483,B,1.18x?x0.33,Steatite,7,V,66,,-14.4,DK 8062,60
484,B,0.63x0.61x0.21,Steatite,1,V,46,,-14.5,DK 6385,60
485,F,1.17x0.47x0.3,Steatite,1,III,17,,-14.5,DK 5156,60
486,B,1.15x1.15x0.44,Steatite,,,,Bet. Bls. 4 & 5,-14.5,DK 4206,60
487,B,1.6x?x0.5,Steatite,1,III,4,,-14.6,DK 5778,60
488,A,1.0x0.59,Steatite,4,,12,,-14.5,DK 5828,60
489,B,1.21x1.08x0.38,Steatite,,,,First St. (21),-14.5,DK 8072,60
490,B,0.89x0.85x0.24,Steatite,,,,Bet. Bls. 1 & 10 (I),-14.7,DK 6633,60
491,B,1.06x1.03x0.41,Steatite,,,,First St. (15),-14.7,DK 13006,60
492,C,1.18x1.18x0.25,Steatite,7,IV,72,,-14.7,DK 8204,60
493,B,0.99x0.99x0.22,Steatite,7,III,48,,-14.8,DK 8253,60
494,B,0.97x0.95x0.21,Steatite,,,,Lane bet. Bls. 10 & 12,-14.8,DK 7734,60
495,B,0.81x0.81x0.21,Steatite,2,II,23,,-14.8,DK 4337,60
496,B,?x?x0.3,Steatite,7,VIII,28,,-14.8,DK 6003,60
497,?,1.05x0.9x0.52,Steatite,7,III,43,,-14.8,DK 8250,60
498,B,0.8x0.78x0.27,Steatite,,,,Bet. Bls. 1 (III) & 2,-14.8,DK 6838,60
499,F,1.8x0.46x0.35,Steatite,2,I,7,,-14.8,DK 9187,60
