140,B,1.32x1.32x0.32,Steatite,,,,Bet. Bls. 4 & 7,-7.0,DK 5462,50
141,B,1.05x1.08x0.25,Steatite,7,VIII,21,,-7.0,DK 4052,50
142,D,1.35x0.56x0.4,Steatite,,,,Bet. Bls. 14 & 15,-7.1,DK 11456,50
143,B,0.75x0.75x0.28,Steatite,18,,5,,-7.0,DK 13023,50
144,B,0.75x0.75x0.28,Steatite,18,,17,,-7.1,DK 11026,50
145,B,1.05x1.05x0.32,Steatite,18,,68,,-7.2,DK 11177,50
146,B,1.42x1.4x0.3,Steatite,4,,13,,-7.1,DK 4182,50
147,B,0.9x0.95x0.25,Steatite,,,,First St. (30),-7.1,DK 10483,50
148,B,?x?x0.72,Steatite,4,,3,,-7.1,DK 10281,50
150,B,1.25x?x0.37,Steatite,18,,17,,-7.2,DK 10950,50
151,?,1.1x0.7x0.75,Steatite,17,II,13,,-7.2,DK 11961,50
152,B,0.65x0.65x0.25,Steatite,5,I,2,,-7.3,DK 3930,50
153,B,1.2x1.2x0.33,Steatite,,,,Surface (locus),-7.3,DK 11402,50
154,B,0.9x0.9x0.25,Steatite,8,III,9,,-7.3,DK 7948,50
155,B,0.59x0.59x0.15,Steatite,9,VIII,14,,-7.1,DK 8014,50
156,B,1.1x1.15x0.3,Steatite,7,II,89,,-7.2,DK 3615,50
157,B,1.15x1.15x0.3,Steatite,8,III,9,,-7.3,DK 7947,50
158,B,0.72x0.72x0.29,Steatite,,,,West St.,-7.4,DK 11395,50
159,F,1.29x0.45x0.35,Steatite,7,II,29,,-7.4,DK 3540,50
160,B,0.76x0.76x0.3,Steatite,18,,54,,-7.5,DK 11746,50
161,B,0.76x0.76x0.22,Steatite,9,VIII,21,,-7.4,DK 7990,50
162,F,1.2x0.5x0.3,Steatite,,,,Bet. Bls. 12 & 12A,-7.4,DK 4794,50
163,B,?x?x0.51,Steatite,7,V,64,,-7.5,DK 5656,50
164,F,1.23x0.59x0.38,Steatite,9,VIII,10,,-7.5,DK 8038,50
165,B,0.65x0.65x0.2,Steatite,13,III,13,,-7.6,DK 11714,50
166,B,1.05x1.05x0.3,Steatite,23,III,14,,-7.6,DK 12504,50
167,B,1.08x?x0.34,Steatite,23,II,13,,-7.5,DK 11729,50
168,B,1.2x1.2x0.35,Steatite,21,IV,23,,-7.6,DK 12138,50
169,B,1.7x1.7x0.36,Steatite,13,III,18,,-7.6,DK 11275,50
170,F,1.1x0.45x0.31,Steatite,6,I,3,,-7.7,DK 3734,50
171,B,1.06x1.06x0.35,Steatite,18,,74,,-7.6,DK 11502,50
172,E,0.6x0.58x0.15,Steatite,10,II,27,,-7.8,DK 4773,50
173,C,0.68x0.68x0.33,Steatite,18,,3,,-7.6,DK 12153,50
