694,B,1.4x1.4x0.35,Steatite,8,,4,,+7.3,SD 2850,67
695,B,0.75x0.75x0.25,Steatite,,,,Main St. bet. Bls. 1 & 6,+2.1,SD 2735,67
696,B,1.10x1.10x0.2,Steatite,,,,Main St. bet. Bls. 1 & 6,+2.1,SD 2697,67
697,F,1.0x0.45x0.29,Steatite,,,,Main St. bet. Bls. 1 & 6,+1.2,SD 3054,67
698,B,1.05x1.03x0.3,Steatite,1,,67,,+0.1,SD 3058,67
699,D,1.2x0.6x0.25,Steatite,,,,Surface,surface,SD 3162,67
700,B,0.78x0.78x0.25,Steatite,6,,23,,-1.5,SD 3280,67
701,B,0.9x0.9x0.28,Steatite,,,,Street bet. Bls. 1 & 2,-1.1,SD 3192,67
702,B,0.18x0.15x0.38,Steatite,6,,13,,-0.8,SD 3226,67
703,B,0.49x0.48x0.15,Steatite,10,,7,,-1.1,SD 3130,67
704,B,1.1x1.1x0.4,Steatite,6,,30,,-0.7,SD 3295,67
