631,C,0.8x0.8x0.22,Steatite,3,VI,47,,-19.4,DK 7374,65
632,B,0.83x0.82x0.28,Steatite,,,,Bet. Bls. 12 & 12A,-19.5,DK 5537,65
633,B,0.86x0.86x0.26,Steatite,2,I,7,,-19.6,DK 9283,65
634,B,0.85x0.86x0.25,Steatite,,,,Bet. Bls. 11 & 12A,-19.8,DK 5256,65
635,B,0.97x0.97x0.29,Steatite,1,II,63,,-19.8,DK 9002,65
636,C,0.92x0.92x0.36,Steatite,,,,First St. (21),-19.9,DK 8519,65
637,B,0.75x0.76x0.14,Steatite,,,,Bet. Bls. 12 & 12A,-19.9,DK 5554,65
638,B,0.65x0.64x0.2,Steatite,4,,10,,-20.0,DK 6751,65
639,B,1.0x0.98x0.28,Steatite,1,VIII,63,,-20.0,DK 6068,65
640,B,1.27x0.72x0.33,Steatite,,VI,,Bet. Bls. 5 & 7,-20.0,DK 6842,65
641,B,1.22x1.22x0.31,Steatite,9A,V,75,,-20.0,DK 7597,65
642,B,0.78x0.77x0.26,Steatite,11,III,26,,-20.0,DK 5580,65
643,D,1.2x0.6x0.46,Steatite,,I,,Lane east of Bl. 1,-20.0,DK 9255,65
644,B,1.18x1.16x0.31,Steatite,7,II,88,,-20.1,DK 8703,65
645,B,1.24x1.2x0.3,Steatite,12,V,95,,-20.2,DK 7287,65
646,B,0.9x0.9x0.26,Steatite,1,I,82,,-20.2,DK 9085,65
647,B,0.81x0.81x0.27,Steatite,,,,First St. (1),-20.3,DK 8494,65
648,B,1.3x1.25x0.27,Steatite,7,I,19,,-20.4,DK 8473,65
649,B,0.7x0.7x0.19,Steatite,4,,16,,-20.5,DK 6423,65
650,B,0.75x0.75x?,Steatite,7,VIII,28,,-20.6,DK 8756,65
651,B,1.53x1.52x0.32,Steatite,5,I,2,,-20.6,DK 7462,65
652,B,0.77x0.77x0.22,Steatite,,,,Bet. Bls. 1 (I) & 2,-20.6,DK 9343,65
653,B,1.6x1.6x0.43,Paste,3,VI,40,,-20.7,DK 7825,65
654,F,2.17x0.59x0.4,Steatite,1,IV,61,,-20.7,DK 9134,65
655,B,1.19x1.18x0.34,Steatite,,III,,Bet. Bls. 10 & 12,-20.7,DK 7066,65
656,B,0.86x0.86x0.23,Steatite,1,III,2,,-20.9,DK 9086,65
657,B,1.06x1.05x0.28,Steatite,,,,Bet. Bls. 10A & 11,-20.9,DK 6625,65
658,D,1.05x0.7x0.44,Limestone,1,III,4,,-21.0,DK 9050,65
659,B,?x?x0.28,Steatite,,,,First St. (21),-21.1,DK 8544,65
660,B,1.07x1.06x0.21,Steatite,1,III,1,,-21.1,DK 9049,65
661,I,1.75x0.5x0.2,Steatite,,,,First St. (22),-21.2,DK 8440,65
662,B,0.53x0.53x0.11,Steatite,,,,First St. (22),-21.3,DK 8478,65
663,B,0.9x0.9x0.2,Steatite,7,III,51,,-21.3,DK 8957,65
