372,?,1.25x0.62x0.4,Steatite,,VIII,,Bet. Bls. 7 & 9,-11.9,DK 8141,57
373,B,1.0x0.99x0.3,Steatite,9,XI,72,,-12.5,DK 12908,57
374,-,Sealing,Faience,9,VII,17,,-10.1,DK 5837,57
375,B,0.8x0.8x0.25,Steatite,9,VI,36,,-11.8,DK 8227,57
376,A,0.86x0.5,Calcite,3,VI,32,,-11.8,DK 3599,57
377,C,0.82x0.78x0.22,Steatite,7,III,40,,-11.9,DK 8143,57
378,B,0.9x0.95x0.34,Steatite,7,III,52,,-11.9,DK 5847,57
378A,D,1.31x0.65x0.4,Steatite,21,II,7,,-4.4,DK 10355,57
378B,B,1.3x1.2x0.55,Steatite,9,IV,6,,-8.4,DK 8186,57
378C,B,1.3x1.2x0.55,Steatite,9,IV,6,,-8.4,DK 8186,57
378D,A,0.86x0.5,Calcite,3,VI,32,,-11.8,DK 3599,57
379,B,0.68x0.68x0.21,Steatite,7,I,13,,-12.0,DK 5677,57
380,B,0.9x0.91x0.25,Steatite,,,,Bet. Bls. 12 & 12A,-12.0,DK 5332,57
381,B,1.02x1.05x0.29,Steatite,10,I,2,,-12.0,DK 5669,57
382,B,0.78x0.78x0.22,Steatite,7,V,66,,-12.1,DK 8013,57
383,E,0.7x0.7x0.11,Faience,,,,First St. (14),-12.1,DK 3810,57
384,B,1.17x0.69x0.45,Steatite,10,IV,71,,-12.2,DK 5619,57
385,B,1.20x?x0.28,Steatite,,III,,Bet. Bls. 7 & 9,-12.2,DK 8327,57
386,B,0.98x0.66x0.29,Steatite,9,VI,78,,-12.2,DK 7569,57
387,F,0.95x0.5x0.38,Steatite,10,IV,70,,-12.2,DK 6091,57
388,F,1.0x0.59x0.55,Steatite,10,III,62,,-12.2,DK 5639,57
389,B,0.72x0.72x0.25,Steatite,10,IV,87,,-12.2,DK 6340,57
390,B,1.03x1.03x0.35,Steatite,12,V,96,,-12.3,DK 6837,57
391,F,1.1x0.6x0.4,Steatite,,,,Bet. Bls. 10A & 11,-12.3,DK 6080,57
392,F,1.3x0.48x0.35,Steatite,,,,Bet. Bls. 2 & 3,-12.3,DK 4471,57
393,B,1.1x1.1x0.22,Steatite,12,I,1,,-12.3,DK 8480,57
394,?,1.6x?x?,Steatite,10,IV,70,,-12.4,DK 5941,57
395,F,1.14x0.44x0.37,Steatite,,I,,Lane east of Bl. 1,-12.4,DK 7242,57
396,B,1.66x1.63x0.5,Steatite,1,III,2,,-12.4,DK 5250,57
397,F,1.0x0.48x0.29,Steatite,,,,Bet. Bls. 4 & 5,-12.4,DK 4178,57
398,B,1.53x1.52x0.38,Steatite,1,III,1,,-12.4,DK 6599,57
399,B,1.09x1.05x0.3,Steatite,9,VII,17,,-12.4,DK 5678,57
400,?,1.6,Steatite,10,IV,70,,-12.4,DK 5941,57
