174,B,1.72x?x0.49,Steatite,,,,West St.,-7.7,DK 12124,51
175,B,0.8x0.8x0.2,Steatite,16,I,10,,-7.6,DK 11635,51
176,B,0.61x0.61x0.23,Steatite,,,,Central St.,-7.7,DK 11756,51
177,B,1.32x1.38x0.4,Steatite,10,III,56,,-7.7,DK 5371,51
178,B,1.4x1.4x0.38,Steatite,9,VIII,21,,-7.5,DK 8054,51
179,B,1.06x1.25x0.4,Steatite,18,,47,,-7.7,DK 12208,51
180,B,1.25x1.25x0.4,Steatite,7,IX,29,,-7.9,DK 7920,51
181,B,0.85x0.79x0.19,Steatite,,,,Central St.,-7.9,DK 14921,51
182,B,?x?x0.32,Steatite,17,I,6,,-7.9,DK 11908,51
183,F,1.15x0.47x0.32,Steatite,21,I,1,,-7.8,DK 11870,51
184,B,1.31x1.31x0.35,Steatite,,,,First St. (24),-7.8,DK 10712,51
185,B,0.95x0.95x0.29,Steatite,,,,Bet. Bls. 7 & 8,-8.0,DK 3477,51
186,B,0.96x0.92x0.3,Steatite,,,,Bet. Bls. 1 (III) & 7,-8.0,DK 6627,51
187,B,1.19x1.19x0.34,Steatite,16,I,9,,-8.0,DK 11557,51
188,B,0.42x0.42x0.15,Steatite,13,III,17,,-8.0,DK 11340,51
189,C,1.2x1.2x0.45,Steatite,21,IV,27,,-8.1,DK 12109,51
190,B,1.3x1.3x0.26,Steatite,18,,20,,-7.9,DK 11245,51
191,B,1.15x1.15x0.35,Steatite,7,II,88,,-8.1,DK 3617,51
192,B,1.11x?x0.34,Steatite,17,III,24,,-8.1,DK 12326,51
193,B,1.02x1.05x0.23,Steatite,,,,Bet. Bls. 1 (IV) & 10,-8.1,DK 5227,51
194,B,1.38x?x0.39,Steatite,18,,87,,-8.1,DK 12324,51
195,B,0.92x0.92x0.21,Steatite,18,,80,,-8.1,DK 12281,51
196,B,0.62x0.61x0.23,Steatite,18,,32,,-8.1,DK 12318,51
197,B,1.56x1.55x0.5,Steatite,6,III,21,,-8.1,DK 3879,51
198,B,1.06x1.05x0.38,Steatite,9,VIII,14,,-8.2,DK 8100,51
199,B,0.65x0.65x0.25,Steatite,6,III,12,,-8.3,DK 3649,51
200,F,0.9x0.5x0.33,Steatite,,,,Bet. Bls. 1 (III) & 2,-8.2,DK 4379,51
201,B,0.94x0.6x0.28,Steatite,18,,41,,-8.4,DK 12160,51
202,B,1.08x1.08x0.3,Steatite,6A,,41,,-8.2,DK 11216,51
203,B,0.7x0.7x0.2,Steatite,18,,75,,-8.3,DK 11366,51
204,F,1.3x0.65x0.4,Steatite,9,VII,17,,-8.3,DK 3937,51
205,F,1.46x0.54x0.37,Steatite,21,III,18,,-8.6,DK 11264,51
206,B,1.33x?x0.35,Steatite,,,,Bet. Bls. 27 & 28,-8.3,DK 11860,51
