273,F,1.6x0.59x0.35,Steatite,1,III,1,,-9.5,DK 4604,54
274,B,0.91x0.91x0.26,Steatite,9A,VIII,55,,-9.6,DK 12857,54
275,B,0.88x0.88x0.28,Steatite,13,II,7,,-9.6,DK 12211,54
276,B,1.2x0.7x0.29,Steatite,9,XI,75,,-9.4,DK 12516,54
277,B,1.36x1.36x0.35,Steatite,7,II,89,,-9.6,DK 3642,54
278,B,1.23x1.2x0.39,Steatite,10,IV,73,,-9.5,DK 5439,54
279,B,1.28x1.2x0.28,Steatite,9A,V,75,,-9.5,DK 8165,54
280,B,1.15x1.14x0.31,Steatite,12,V,95,,-9.7,DK 5575,54
281,B,1.0x1.0x0.35,Steatite,4,,13,,-9.6,DK 3422,54
282,B,0.8x0.78x0.27,Steatite,9,IX,66,,-9.9,DK 12849,54
283,B,0.98x0.98x0.3,Steatite,,,,First St. (29),-9.7,DK 11233,54
284,B,1.0x0.96x0.27,Steatite,8,III,37,,-9.5,DK 8103,54
285,B,1.15x1.14x0.31,Steatite,12,V,95,,-9.7,DK 5575,54
286,B,1.0x1.0x0.29,Steatite,8,III,47,,-9.6,DK 12449,54
287,B,1.45x?x0.41,Steatite,8,III,37,,-9.9,DK 8105,54
288,F,1.45x0.6x0.4,Steatite,12A,II,12,,-9.9,DK 5476,54
289,F,1.15x0.48x0.35,Steatite,2,I,8,,-10.2,DK 4271,54
290,B,1.0x1.0x0.25,Steatite,,,,Bet. Bls. 1 (III) & 3,-9.7,DK 4458,54
291,B,0.88x0.58x0.42,Steatite,9,I,24,,-9.8,DK 8150,54
292,D,1.03x0.45x0.3,Steatite,4,,6,,-9.8,DK 5667,54
293,B,0.9x0.9x0.3,Steatite,8,II,17,,-9.9,DK 7906,54
294,B,0.8x0.8x0.25,Steatite,7,III,52,,-9.7,DK 5718,54
295,B,0.88x0.88x0.23,Steatite,9,I,37,,-9.9,DK 8106,54
296,B,0.7x0.7x0.19,Steatite,7,VI,76,,-9.9,DK 7200,54
297,F,2.05x0.58x0.42,Steatite,1,I,15,,-10.0,DK 4546,54
298,B,0.91x0.91x0.28,Steatite,9,IX,63,,-10.1,DK 12851,54
299,C,0.6x0.6x0.25,Steatite,6,II,10,,-10.0,DK 3876,54
300,B,0.82x0.8x0.28,Steatite,18,,40,,-10.1,DK 12323,54
301,F,2.23x0.53x0.46,Steatite,1,III,2,,-10.1,DK 4603,54
302,F,1.14x0.5x0.35,Steatite,,,,Bet. Bls. 3 & 4,-10.2,DK 3463,54
303,F,?x0.4x0.02,Steatite,7,V,78,,-10.2,DK 7883,54
304,B,0.95x0.92x0.29,Steatite,3,IV,48,,-10.2,DK 4155,54
305,B,0.93x0.93x0.25,Steatite,7,IX,33,,-10.4,DK 8041,54
