566,B,?x?x0.46,Faience (as printed),,,,Bet. Bls. 10 & 12,-16.9,DK 5703,63
567,B,1.0x1.0x0.27,ditto after Faience (as printed),12,V,89,,-16.9,DK 5967,63
568,D,1.0x0.48x0.39,ditto after Faience (as printed),,,,Bet. Bls. 10 & 12,-16.9,DK 5702,63
569,B,0.98x0.98x0.26,ditto after Faience (as printed),7,IX,31,,-16.9,DK 8223,63
570,B,1.0x0.65x0.26,ditto after Faience (as printed),,,,Bet. Bls. 12 & 12A,-16.9,DK 5446,63
571,B,0.75x0.72x0.25,ditto after Faience (as printed),1,III,17,,-16.9,DK 7268,63
572,B,1.1x1.1x0.3,ditto after Faience (as printed),,,,First St. (6),-17.0,DK 8212,63
573,B,1.25x1.25x0.35,Steatite,5,I,3,,-17.0,DK 7538,63
574,B,1.15x1.15x0.31,Steatite,10,IV,86,,-17.0,DK 7135,63
575,?,1.23x0.8x0.4,Steatite,12,V,96,,-17.1,DK 6898,63
576,B,1.31x1.31x0.28,Steatite,1,VI,52,,-17.2,DK 9069,63
577,B,0.85x0.83x0.25,Steatite,7,IV,72,,-17.2,DK 8209,63
578,B,1.56x1.56x0.36,Steatite,1,I,15,,-17.3,DK 7283,63
579,F,0.95x0.46x0.33,Steatite,,I,,Lane east of Bl. 1,-17.4,DK 7465,63
580,B,0.96x0.95x0.23,Steatite,12,V,92,,-17.4,DK 5891,63
581,B,0.95x0.95x0.3,Steatite,,III,,Bet. Bls. 7 & 9,-17.4,DK 8528,63
582,B,0.78x0.78x0.25,Steatite,,,,Bet. Bls. 1 (III) & 2,-17.4,DK 7464,63
583,B,1.25x1.25x0.4,Steatite,3,III,36,,-17.4,DK 7402,63
584,B,1.2x1.2x0.37,Steatite,11,III,41,,-17.6,DK 7820,63
585,B,0.9x0.85x0.25,Steatite,7,IV,49,,-17.6,DK 8248,63
586,E,0.65x0.61x0.17,Faience,,,,First St. (22),-17.6,DK 8213,63
587,C,1.32x1.32x0.39,Steatite,2,IV,22,,-17.6,DK 7372,63
588,B,1.11x1.11x0.3,Steatite,4,,16,,-17.7,DK 6381,63
589,B,1.33x1.33x0.4,Steatite,1,I,72,,-17.7,DK 6335,63
590,B,1.4x1.4x0.33,Steatite,1,I,20,,-17.7,DK 5848,63
591,B,0.81x0.81x0.25,Steatite,,,,First St. (21),-17.8,DK 7601,63
592,B,0.75x0.75x0.25,Steatite,7,IV,71,,-17.9,DK 8287,63
593,B,1.12x1.12x0.3,Steatite,,I,,East of Bl. 1,-17.8,DK 7415,63
594,B,1.0x1.0x0.29,Steatite,7,VIII,52,,-17.8,DK 8539,63
595,B,1.3x1.3x0.3,Steatite,10,I,5,,-17.8,DK 7875,63
596,B,1.92x1.15x0.49,Steatite,,VI,,Lane east of Bl. 9,-17.9,DK 8422,63
597,B,1.13x1.08x0.3,Steatite,1,III,2,,-17.9,DK 8946,63
598,B,1.4x1.36x0.42,Steatite,10,III,67,,-18.0,DK 6531,63
