351,1.0x1.0,5,0,B,Steatite,C,427
352,1.0x?,2,6,B,Steatite,HR,4469
353,0.75x0.8,3,0,B,Steatite,D,392
354,?,3,0,B,Steatite,L,860
355,1.05x1.05,3,0,B,Steatite,DK,2869
356,0.9x0.9,3,0,C,Steatite,L,323
357,1.6x1.6,5,0,B,Steatite,VS,1574
358,1.2x1.2,0,6,B,Steatite,DK,797
359,0.65x0.35,6,6,F,Steatite,C,310
360,0.55x0.55,2,11,B,Steatite,D,417
361,1.2x1.2,4,6,B,Steatite,DK,2340
362,,,,B,Steatite,E,1651
363,,3,0,B,Steatite,D,104
364,0.55x?,8,0,B,Steatite,VS,2876
365,1.1x1.1,2,6,B,Steatite,HR,1965
366,0.8x0.8,3,0,B,Steatite,HR,4055
367,0.75x0.75,3,6,B,Steatite,VS,3450
368,0.30x?,4,0,B,Steatite,C,675
369,1.25x1.25,4,6,B,Steatite,C,353
370,1.15x1.15,3,0,B,Steatite,HR,5611
371,0.45x?,10,0,B,Steatite,C,2053
372,1.3x1.3,2,6,B,Steatite,HR,1696
373,1.3x1.2,8,0,B,Steatite,HR,5972
374,1.5x?,2,5,B,Steatite,HR,4355
375,1.4x?,3,0,B,Steatite,VS,1816
376,1.15x1.15,6,0,B,Steatite,HR,4212E
377,1.05x?,5,0,B,Steatite (brown),E,1277
378,0.95x0.95,3,0,B,Steatite,HR,2596
379,,4,3,B,Steatite,HR,5946
380,1.05x1.05,6,0,B,Steatite,HR,4952
381,1.3x1.3,4,6,B,Steatite,VS,1753
382,1.05x1.05,surface,,B,Steatite,L,384
383,1.4,3,0,H,Steatite,E,1886
384,1.2x1.0,1,2,B,Steatite,E,1432
385,1.0x0.2,2,1,B,Steatite,SD,2172
386,1.4x1.4,4,0,B,Steatite,C,2896
387,1.3x1.3,5,0,B,Steatite,B,63
388,0.8x0.2,8,6,B,Steatite,VS,3094
389,0.9x0.7,,,B,Steatite,D,171
390,,9,1,B,Steatite,DM,72
391,0.7x0.35,1,6,F,Steatite,C,51
392,0.3x?,2,0,B,Steatite,VS,2049
393,1.7x1.0,3,0,F,Steatite (black),HR,3130
394,1.5x0.6,6,6,B,Steatite (brown),C,3158
395,1.1x1.1,5,6,B,Steatite,VS,1190
396,,4,0,B,Steatite,HR,5676
397,,12,0,B,Steatite,VS,3227
398,,9,0,F,Steatite,C,1814
399,,,,,,BJ,9
400,1.0x0.95,3,0,B,Steatite,HR,3005
401,1.0x0.65,8,0,F,Steatite,HR,2023
402,1.55x0.5,8,0,F,Steatite (red),HR,6187
403,2.25x0.6,,,F,Steatite,D,262
404,2.4x0.75,7,0,B,Steatite,VS,3546
405,1.85x0.6,2,6,F,Steatite (grey),HR,1050
406,2.1x0.65,8,0,F,Steatite,DM,255
407,1.25x0.55,3,0,F,Steatite (black),DK,1436
408,?x0.4,2,0,F,Steatite,E,2505
409,?x0.4,3,0,F,Steatite,DK,1398
410,0.65x0.4,3,6,F,Steatite,VS,1681
411,0.6x0.45,4,6,F,Steatite (black),D,288
412,0.7x0.45,2,0,D,Steatite (brown),E,2039
413,0.7x0.45,2,0,D,Steatite (brown),E,2039
414,1.05x0.35,4,0,F,Steatite,SD,818
415,0.85x0.4,5,0,F,Steatite (grey),D,114
416,0.8x0.35,1,6,F,Steatite,D,150
417,,4,0,B,Steatite,HR,5167
418,1.1x0.45,3,0,F,Steatite,C,217
419,0.95x0.3,3,0,F,Steatite,HR,5796
420,0.95x0.45,8,0,D,Steatite (black),HR,5147
