281,0.8x?,3,0,B,Steatite,E,1829
282,0.75x0.25,5,2,B,Steatite,C,2766
283,0.5x0.5,2,5,B,Steatite,HR,4054
284,?x0.9x?,4,0,B,Steatite,C,3035
285,0.7x0.7,4,0,B,Steatite,HR,1804
286,0.7x0.7,2,4,B,Steatite,HR,3732b
287,0.75x0.75,3,6,B,Steatite,C,1956
288,0.75x0.75,4,0,B,Steatite,C,2823
289,0.9x?,6,0,B,Steatite,D,90
290,,7,0,B,Steatite,E,348
291,,2,6,?,Steatite,VS,2852
292,0.7x0.7,3,0,B,Steatite,E,388
293,0.85x?,4,0,B,Steatite,HR,4629
294,1.1x1.1,2,0,B,Steatite,DK,1512
295,0.7x0.7,,,B,Steatite,VS,3172
296,0.75x?,7,0,B,Steatite,E,976
297,,,,,,BJ,8
298,,6,0,B,Steatite,HR,3841
299,,4,0,B,Steatite,HR,5788
300,0.35x?,6,0,B,Steatite,E,323
301,0.25x?,5,3,B,Steatite,C,2024
302,0.95x0.9,2,2,B,Steatite,DK,3205
303,0.95x0.95,5,0,B,Steatite,C,290
304,1.0x1.0,surface,,B,Steatite,L,385
305,0.75x0.75,3,0,B,Steatite,HR,5225
306,1.1x1.1,5,0,B,Steatite,HR,5193
307,0.95x0.95,4,0,B,Steatite,L,351
308,0.8x0.8,,,B,Steatite,C,2767
309,0.9,4,0,H,Steatite,HR,4393
310,0.85x0.85,8,0,B,Steatite,DK,1542
311,0.8x0.8,,,C,Steatite,HR,4503
312,0.95x0.95,6,0,B,Steatite,VS,3503
313,0.30x?,2,0,B,,VS,2543
314,1.0x1.0,3,0,B,Steatite,VS,1754
315,1.05x1.05,2,4,B,Steatite,VS,59
316,1.2x?,4,0,B,Steatite,L,904
317,1.1x1.1,3,0,B,Steatite,HR,583
318,1.15x0.35,3,6,B,Steatite,HR,4364
319,1.05x1.05,10,0,B,Steatite,HR,5949
320,0.85x0.85,5,0,B,Steatite,HR,1793
321,1.6x1.6,4,0,B,Steatite,C,2582
322,1.1x1.1,2,0,B,Steatite,HR,4318
323,0.95x0.95,2,0,B,Steatite,HR,4387
324,1.2x1.2,6,0,B,Steatite,HR,4098
325,1.1x1.1,2,0,B,Steatite,DK,2797
326,1.0x1.0,1,6,B,Steatite,DK,209
327,,4,0,B,Steatite,C,2073
328,0.3x?,2,3,B,Steatite,DK,681
329,1.1x?,3,0,B,Steatite,HR,4348
330,1.45x0.8,4,5,B,Steatite,C,606
331,1.2x1.2,4,6,B,Steatite,VS,3093
332,,,,,,BJ,1
333,1.35x1.3,6,6,B,Steatite,VS,3026
334,1.4x?,5,6,B,Steatite,E,1346
335,1.55x1.55,,,B,Steatite,HR,2657
336,0.75x0.75,,,B,Steatite,E,1846
337,1.5x1.55,8,6,B,Steatite,B,588
338,1.35x1.3,5,0,B,Steatite,HR,5028
339,1.4x1.4,3,0,B,Steatite,DK,2137
340,1.3x1.25,3,0,B,Steatite,HR,3080
341,0.8x0.2,surface,,B,Steatite,L,386
342,1.4x1.4,4,0,B,Steatite,HR,5992
343,1.35x1.4,1,6,B,Steatite,HR,4433
344,1.1x1.1,4,0,B,Steatite,C,2853
345,1.3x1.3,4,0,B,Steatite,HR,5635
346,1.1x1.1,8,0,B,Steatite,HR,5971
347,0.9x0.9,4,0,B,Steatite,E,1181
348,0.35x?,4,0,B,Steatite,VS,1438
349,1.0x?,2,6,B,Steatite,C,1893
350,0.7x0.7,2,6,,Steatite,DK,426
